Millions of Euros;2010;2011;2012;2013;Trend;
Other Revenues;-23.0;-55.0;-36.0;-68.0;None;
TOTAL REVENUES;7280.0;8001.0;9914.0;10619.0;None;
Cost of Goods Sold;6462.0;7524.0;8871.0;9356.0;None;
GROSS PROFIT;818.0;477.0;1043.0;1263.0;None;
Other Operating Expenses;294.0;153.0;410.0;657.0;None;
OTHER OPERATING EXPENSES TOTAL;294.0;153.0;410.0;657.0;None;
OPERATING INCOME;524.0;324.0;633.0;606.0;None;
Interest Expense;-48.0;-76.0;-91.0;-106.0;None;
Income (Loss) on Equity Investments;11.0;7.0;--;-13.0;None;
Currency Exchange Gains (Loss);-15.0;13.0;23.0;-10.0;None;
Other Non-Operating Income (Expenses);-17.0;-33.0;-36.0;-43.0;None;
Merger & Restructuring Charges;--;-33.0;-13.0;-25.0;None;
Impairment of Goodwill;--;127.0;--;227.0;None;
Other Unusual Items Total;--;--;10.0;4.0;None;
Other Unusual Items;--;--;10.0;4.0;None;
EBT INCLUDING UNUSUAL ITEMS;455.0;329.0;526.0;640.0;None;
Income Tax Expense;36.0;--;108.0;91.0;None;
Minority Interest in Earnings;-1.0;--;--;--;None;
Earnings from Continuing Operations;419.0;329.0;418.0;549.0;None;
NET INCOME;418.0;329.0;418.0;549.0;None;
NET INCOME TO COMMON INCLUDING EXTRA ITEMS;418.0;329.0;418.0;549.0;None;
NET INCOME TO COMMON EXCLUDING EXTRA ITEMS;418.0;329.0;418.0;549.0;None;
