Millions of Euros;2010;2011;2012;2013;Trend;
Assets;None;None;None;None;None;
Cash and Equivalents;1826.5;2493.5;2247.3;2506.0;None;
Trading Asset Securities;273.9;49.1;29.0;103.2;None;
TOTAL CASH AND SHORT TERM INVESTMENTS;2100.4;2542.6;2276.3;2609.2;None;
Accounts Receivable;3984.5;4122.1;3806.1;3631.1;None;
Notes Receivable;33.4;104.3;84.5;60.1;None;
Other Receivables;157.5;88.4;181.3;291.1;None;
TOTAL RECEIVABLES;4175.4;4314.8;4071.9;3982.3;None;
Inventory;273.1;331.0;290.1;286.4;None;
Other Current Assets;986.5;1172.9;1116.8;1279.6;None;
TOTAL CURRENT ASSETS;7535.4;8361.3;7755.1;8157.5;None;
Gross Property Plant and Equipment;14842.1;15148.3;15759.0;14924.0;None;
Accumulated Depreciation;-5986.9;-6365.7;-6877.0;-7091.5;None;
NET PROPERTY PLANT AND EQUIPMENT;8855.2;8782.6;8882.0;7832.5;None;
Goodwill;3128.0;3264.7;3256.9;3184.3;None;
Long-Term Investments;1132.2;1102.6;1145.9;1195.4;None;
Accounts Receivable Long Term;7.2;3.1;3.5;1.5;None;
Loans Receivable Long Term;264.4;182.1;216.2;195.1;None;
Deferred Tax Assets Long Term;782.1;754.7;755.1;730.1;None;
Other Intangibles;3778.8;4045.9;4060.8;4517.5;None;
Other Long-Term Assets;447.1;564.4;561.0;894.0;None;
TOTAL ASSETS;25930.4;27061.4;26636.5;26707.9;None;
None;None;None;None;None;None;
LIABILITIES & EQUITY;None;None;None;None;None;
Accounts Payable;2548.5;2435.5;2621.3;2509.4;None;
Short-Term Borrowings;647.5;626.5;758.4;1383.6;None;
Current Portion of Long-Term Debt/Capital Lease;697.3;1411.2;607.0;1387.2;None;
Current Portion of Capital Lease Obligations;63.3;55.3;51.5;51.8;None;
Other Current Liabilities Total;4483.4;5100.9;4491.7;4454.9;None;
TOTAL CURRENT LIABILITIES;8376.7;9574.1;8478.4;9735.1;None;
Long-Term Debt;7895.6;7650.5;8192.2;6898.7;None;
Capital Leases;511.4;451.3;390.7;345.6;None;
Minority Interest;1854.2;1871.1;1995.3;1946.6;None;
Deferred Tax Liability Non-Current;696.2;583.9;573.9;568.5;None;
Other Non-Current Liabilities;1823.7;1984.4;2142.1;2250.4;None;
TOTAL LIABILITIES;19303.6;20244.2;19777.3;19798.3;None;
Common Stock;1958.8;2040.9;2040.9;2040.9;None;
Additional Paid in Capital;4002.9;4147.2;4147.2;4138.3;None;
Treasury Stock;-30.2;-36.4;-10.0;-13.6;None;
Comprehensive Income and Other;-1158.9;-1205.6;-1314.2;-1202.6;None;
TOTAL COMMON EQUITY;4772.6;4946.1;4863.9;4963.0;None;
TOTAL EQUITY;6626.8;6817.2;6859.2;6909.6;None;
TOTAL LIABILITIES AND EQUITY;25930.4;27061.4;26636.5;26707.9;None;
