Millions of Euros;2010;2011;2012;2013;Trend;
Revenues;13869.3;14829.6;15101.6;14643.8;None;
TOTAL REVENUES;13869.3;14829.6;15101.6;14643.8;None;
Cost of Goods Sold;6886.0;7112.5;7292.0;6721.7;None;
GROSS PROFIT;6983.3;7717.1;7809.6;7922.1;None;
Selling General & Admin Expenses Total;288.8;341.7;362.6;389.2;None;
Depreciation & Amortization Total;968.6;1136.7;1011.6;959.6;None;
Other Operating Expenses;4665.2;5166.9;5302.4;5411.5;None;
OTHER OPERATING EXPENSES TOTAL;5922.6;6645.3;6676.6;6760.3;None;
OPERATING INCOME;1060.7;1071.8;1133.0;1161.8;None;
Interest Expense;-402.1;-414.1;-422.1;-375.0;None;
Interest and Investment Income;50.8;103.2;70.8;64.5;None;
NET INTEREST EXPENSE;-351.3;-310.9;-351.3;-310.5;None;
Income (Loss) on Equity Investments;31.4;37.4;22.4;31.0;None;
Currency Exchange Gains (Loss);-6.0;-42.5;-22.1;-21.7;None;
Other Non-Operating Income (Expenses);-90.8;-84.5;49.3;16.4;None;
EBT EXCLUDING UNUSUAL ITEMS;644.0;671.3;831.3;877.0;None;
Merger & Restructuring Charges;-82.8;-39.9;-78.4;-74.4;None;
Gain (Loss) on Sale of Investments;193.0;-29.8;-83.5;15.1;None;
Gain (Loss) on Sale of Assets;86.9;92.2;1.2;13.6;None;
Other Unusual Items Total;-2.0;30.6;-15.3;-23.8;None;
Other Unusual Items;-2.0;30.6;-15.3;-23.8;None;
EBT INCLUDING UNUSUAL ITEMS;839.1;724.4;655.3;807.5;None;
Income Tax Expense;119.0;174.2;185.7;205.4;None;
Minority Interest in Earnings;-155.4;-227.4;-218.2;-249.9;None;
Earnings from Continuing Operations;720.1;550.2;469.6;602.1;None;
NET INCOME;564.7;322.8;251.4;352.2;None;
NET INCOME TO COMMON INCLUDING EXTRA ITEMS;558.2;299.1;227.7;328.5;None;
NET INCOME TO COMMON EXCLUDING EXTRA ITEMS;558.2;299.1;227.7;328.5;None;
