Millions of Euros;2010;2011;2012;2013;Trend;
Assets;None;None;None;None;None;
Cash and Equivalents;2762.0;2949.0;4179.0;4391.0;None;
TOTAL CASH AND SHORT TERM INVESTMENTS;2762.0;2949.0;4179.0;4391.0;None;
Accounts Receivable;5038.0;5341.0;5017.0;4882.0;None;
Other Receivables;537.0;635.0;637.0;636.0;None;
TOTAL RECEIVABLES;5575.0;5976.0;5654.0;5518.0;None;
Inventory;5841.0;6477.0;6133.0;5997.0;None;
Prepaid Expenses;410.0;380.0;351.0;350.0;None;
Other Current Assets;476.0;575.0;1577.0;1543.0;None;
TOTAL CURRENT ASSETS;15064.0;16357.0;17894.0;17799.0;None;
Gross Property Plant and Equipment;32824.0;34169.0;34086.0;33336.0;None;
Accumulated Depreciation;-19097.0;-19944.0;-20390.0;-20701.0;None;
NET PROPERTY PLANT AND EQUIPMENT;13727.0;14225.0;13696.0;12635.0;None;
Goodwill;11030.0;11041.0;10936.0;10413.0;None;
Long-Term Investments;162.0;196.0;247.0;274.0;None;
Loans Receivable Long Term;210.0;266.0;261.0;272.0;None;
Deferred Tax Assets Long Term;700.0;949.0;1247.0;1125.0;None;
Deferred Charges Long Term;18.0;32.0;53.0;50.0;None;
Other Intangibles;3049.0;3116.0;3143.0;3081.0;None;
Other Long-Term Assets;37.0;52.0;57.0;77.0;None;
TOTAL ASSETS;43997.0;46234.0;47534.0;45726.0;None;
None;None;None;None;None;None;
LIABILITIES & EQUITY;None;None;None;None;None;
Accounts Payable;5690.0;6018.0;6143.0;5928.0;None;
Accrued Expenses;1640.0;1647.0;1613.0;1558.0;None;
Short-Term Borrowings;1011.0;1060.0;1350.0;798.0;None;
Current Portion of Long-Term Debt/Capital Lease;1097.0;1658.0;1731.0;1719.0;None;
Current Income Taxes Payable;156.0;165.0;70.0;67.0;None;
Other Current Liabilities Total;2222.0;2549.0;2625.0;2616.0;None;
Unearned Revenue Current;60.0;99.0;125.0;89.0;None;
TOTAL CURRENT LIABILITIES;11876.0;13196.0;13657.0;12775.0;None;
Long-Term Debt;7822.0;8336.0;9588.0;9395.0;None;
Minority Interest;364.0;403.0;412.0;344.0;None;
Pension & Other Post-Retirement Benefits;2930.0;3458.0;3470.0;2785.0;None;
Deferred Tax Liability Non-Current;909.0;893.0;792.0;712.0;None;
Other Non-Current Liabilities;2228.0;2133.0;2197.0;2189.0;None;
TOTAL LIABILITIES;25765.0;28016.0;29704.0;27856.0;None;
Common Stock;2123.0;2142.0;2125.0;2221.0;None;
Additional Paid in Capital;5781.0;5920.0;5699.0;6265.0;None;
Retained Earnings;10614.0;10654.0;10313.0;10661.0;None;
Treasury Stock;-224.0;-403.0;-181.0;-147.0;None;
Comprehensive Income and Other;-426.0;-498.0;-538.0;-1474.0;None;
TOTAL COMMON EQUITY;17868.0;17815.0;17418.0;17526.0;None;
TOTAL EQUITY;18232.0;18218.0;17830.0;17870.0;None;
TOTAL LIABILITIES AND EQUITY;43997.0;46234.0;47534.0;45726.0;None;
