Millions of Euros;2010;2011;2012;2013;Trend;
Revenues;40119.0;42116.0;43198.0;42025.0;None;
TOTAL REVENUES;40119.0;42116.0;43198.0;42025.0;None;
Cost of Goods Sold;30059.0;31763.0;33046.0;31996.0;None;
GROSS PROFIT;10060.0;10353.0;10152.0;10029.0;None;
Selling General & Admin Expenses Total;6943.0;6942.0;7420.0;7391.0;None;
OTHER OPERATING EXPENSES TOTAL;6943.0;6942.0;7420.0;7391.0;None;
OPERATING INCOME;3117.0;3411.0;2732.0;2638.0;None;
Interest Expense;-558.0;-559.0;-627.0;-592.0;None;
Interest and Investment Income;39.0;43.0;40.0;33.0;None;
NET INTEREST EXPENSE;-519.0;-516.0;-587.0;-559.0;None;
Income (Loss) on Equity Investments;5.0;8.0;12.0;11.0;None;
Other Non-Operating Income (Expenses);-277.0;-173.0;-163.0;-152.0;None;
EBT EXCLUDING UNUSUAL ITEMS;2326.0;2730.0;1994.0;1938.0;None;
Merger & Restructuring Charges;-242.0;-185.0;-298.0;-313.0;None;
Impairment of Goodwill;-87.0;-309.0;-67.0;-216.0;None;
Gain (Loss) on Sale of Assets;87.0;1.0;60.0;99.0;None;
Other Unusual Items Total;-294.0;-221.0;-523.0;-401.0;None;
Legal Settlements;-161.0;-149.0;-152.0;-145.0;None;
EBT INCLUDING UNUSUAL ITEMS;1790.0;2016.0;1166.0;1107.0;None;
Income Tax Expense;577.0;656.0;443.0;476.0;None;
Minority Interest in Earnings;-84.0;-76.0;-30.0;-36.0;None;
Earnings from Continuing Operations;1213.0;1360.0;723.0;631.0;None;
NET INCOME;1129.0;1284.0;693.0;595.0;None;
NET INCOME TO COMMON INCLUDING EXTRA ITEMS;1129.0;1284.0;693.0;595.0;None;
NET INCOME TO COMMON EXCLUDING EXTRA ITEMS;1129.0;1284.0;693.0;595.0;None;
