Millions of Euros;2010;2011;2012;2013;Trend;
Assets;None;None;None;None;None;
Cash and Equivalents;236.6;196.0;398.7;426.3;None;
TOTAL CASH AND SHORT TERM INVESTMENTS;236.6;196.0;398.7;426.3;None;
Accounts Receivable;733.9;828.4;835.8;740.2;None;
Other Receivables;76.2;117.9;116.5;142.9;None;
TOTAL RECEIVABLES;810.1;946.3;952.3;883.1;None;
Inventory;635.5;702.2;681.0;731.1;None;
Prepaid Expenses;10.0;11.3;8.3;7.1;None;
Other Current Assets;14.1;7.7;14.8;2.8;None;
TOTAL CURRENT ASSETS;1706.3;1863.5;2055.1;2050.4;None;
Gross Property Plant and Equipment;1214.0;1338.9;1388.4;1421.3;None;
Accumulated Depreciation;-787.5;-863.4;-897.4;-935.4;None;
NET PROPERTY PLANT AND EQUIPMENT;426.5;475.5;491.0;485.9;None;
Goodwill;409.1;464.5;461.7;448.2;None;
Long-Term Investments;8.5;66.9;47.1;66.9;None;
Deferred Tax Assets Long Term;52.6;48.3;47.9;52.0;None;
Deferred Charges Long Term;10.3;12.4;13.8;13.2;None;
Other Intangibles;388.4;433.3;420.2;398.6;None;
Other Long-Term Assets;6.7;7.9;9.1;6.0;None;
TOTAL ASSETS;3008.4;3372.3;3545.9;3521.2;None;
None;None;None;None;None;None;
LIABILITIES & EQUITY;None;None;None;None;None;
Accounts Payable;494.4;515.6;508.0;524.8;None;
Accrued Expenses;6.0;7.3;6.6;237.8;None;
Short-Term Borrowings;153.8;288.0;129.1;120.6;None;
Current Portion of Long-Term Debt/Capital Lease;16.3;44.1;169.5;94.5;None;
Current Portion of Capital Lease Obligations;--;--;--;0.8;None;
Current Income Taxes Payable;24.6;66.7;31.4;26.6;None;
Other Current Liabilities Total;328.9;309.6;293.1;72.1;None;
TOTAL CURRENT LIABILITIES;1024.0;1231.3;1137.7;1076.4;None;
Long-Term Debt;200.2;531.6;651.6;624.9;None;
Capital Leases;1.6;2.5;2.0;2.1;None;
Minority Interest;173.1;123.4;130.3;142.6;None;
Pension & Other Post-Retirement Benefits;115.2;112.7;135.0;133.9;None;
Deferred Tax Liability Non-Current;54.9;79.0;82.0;71.3;None;
Other Non-Current Liabilities;66.0;73.5;75.5;80.3;None;
TOTAL LIABILITIES;1461.9;2030.6;2083.8;1988.9;None;
Common Stock;50.0;50.0;50.2;50.2;None;
Additional Paid in Capital;78.9;78.9;88.1;88.1;None;
Retained Earnings;747.0;766.0;775.0;862.0;None;
Treasury Stock;-61.7;-93.3;-91.1;-74.7;None;
Comprehensive Income and Other;559.2;416.7;509.6;464.1;None;
TOTAL COMMON EQUITY;1373.4;1218.3;1331.8;1389.7;None;
TOTAL EQUITY;1546.5;1341.7;1462.1;1532.3;None;
TOTAL LIABILITIES AND EQUITY;3008.4;3372.3;3545.9;3521.2;None;
