Millions of Euros;2010;2011;2012;2013;Trend;
Revenues;3651.8;3963.3;4059.7;4161.3;None;
TOTAL REVENUES;3651.8;3963.3;4059.7;4161.3;None;
Cost of Goods Sold;3071.0;3380.1;3541.1;3642.0;None;
GROSS PROFIT;580.8;583.2;518.6;519.3;None;
Selling General & Admin Expenses Total;199.3;176.9;157.7;150.8;None;
Other Operating Expenses;-0.9;0.1;--;--;None;
OTHER OPERATING EXPENSES TOTAL;198.4;177.0;157.7;150.8;None;
OPERATING INCOME;382.4;406.2;360.9;368.5;None;
Interest Expense;-12.0;-19.1;-29.3;-31.0;None;
NET INTEREST EXPENSE;-12.0;-19.1;-29.3;-31.0;None;
Currency Exchange Gains (Loss);4.8;-0.5;9.9;-7.2;None;
Other Non-Operating Income (Expenses);-3.1;-2.2;-11.7;-4.3;None;
EBT EXCLUDING UNUSUAL ITEMS;372.1;384.4;329.8;326.0;None;
Merger & Restructuring Charges;-15.0;-6.6;-1.9;-9.0;None;
Impairment of Goodwill;-14.7;-10.4;--;--;None;
Gain (Loss) on Sale of Investments;--;--;-25.3;-7.5;None;
Gain (Loss) on Sale of Assets;-1.5;13.8;3.3;--;None;
Other Unusual Items Total;-8.2;-5.6;-1.0;-0.5;None;
Legal Settlements;-4.5;-2.5;--;--;None;
EBT INCLUDING UNUSUAL ITEMS;332.7;375.6;304.9;309.0;None;
Income Tax Expense;89.4;113.1;94.2;87.2;None;
Minority Interest in Earnings;-23.2;-26.4;-16.5;-22.0;None;
Earnings from Continuing Operations;243.3;262.5;210.7;221.8;None;
NET INCOME;220.1;236.1;194.2;199.8;None;
NET INCOME TO COMMON INCLUDING EXTRA ITEMS;220.1;236.1;194.2;199.8;None;
NET INCOME TO COMMON EXCLUDING EXTRA ITEMS;220.1;236.1;194.2;199.8;None;
