Millions of Euros;2011;2012;2013;2014;Trend;
Assets;None;None;None;None;None;
Cash and Equivalents;267.7;259.8;130.1;44.7;None;
Short-Term Investments;--;7.5;0.2;3.7;None;
TOTAL CASH AND SHORT TERM INVESTMENTS;267.7;267.3;130.3;48.4;None;
Accounts Receivable;44.9;47.2;42.4;88.8;None;
Notes Receivable;0.1;0.3;0.9;0.1;None;
Other Receivables;32.5;42.4;18.5;15.5;None;
TOTAL RECEIVABLES;77.5;89.8;61.8;104.4;None;
Inventory;51.3;66.6;66.2;58.8;None;
Prepaid Expenses;1.4;1.7;1.2;1.6;None;
Restricted Cash;--;--;1.0;1.0;None;
Other Current Assets;5.6;13.3;6.3;16.7;None;
TOTAL CURRENT ASSETS;403.6;438.8;266.9;230.9;None;
Gross Property Plant and Equipment;608.8;700.2;794.0;773.4;None;
Accumulated Depreciation;-326.4;-371.2;-447.9;-483.2;None;
NET PROPERTY PLANT AND EQUIPMENT;282.5;329.0;346.0;290.3;None;
Goodwill;25.7;30.7;30.7;0.0;None;
Long-Term Investments;0.0;14.4;14.3;8.2;None;
Loans Receivable Long Term;0.3;0.3;0.1;0.0;None;
Deferred Charges Long Term;3.7;3.3;3.0;2.6;None;
Other Intangibles;24.4;32.6;36.3;23.0;None;
Other Long-Term Assets;4.4;12.4;22.1;29.7;None;
TOTAL ASSETS;744.6;861.3;719.2;584.8;None;
None;None;None;None;None;None;
LIABILITIES & EQUITY;None;None;None;None;None;
Accounts Payable;44.1;41.3;57.6;46.0;None;
Accrued Expenses;--;0.9;0.3;0.2;None;
Short-Term Borrowings;0.1;8.2;41.4;49.9;None;
Current Portion of Long-Term Debt/Capital Lease;24.4;15.5;15.6;88.3;None;
Current Portion of Capital Lease Obligations;9.5;8.1;6.3;3.5;None;
Current Income Taxes Payable;24.9;33.9;24.6;21.8;None;
Other Current Liabilities Total;13.4;18.3;30.7;13.9;None;
Unearned Revenue Current;2.1;0.9;5.4;7.0;None;
TOTAL CURRENT LIABILITIES;109.1;118.9;175.5;227.1;None;
Long-Term Debt;125.5;129.9;136.1;118.7;None;
Capital Leases;17.9;9.8;3.5;0.0;None;
Minority Interest;0.4;--;-0.1;--;None;
Unearned Revenue Non-Current;3.7;3.0;6.8;10.0;None;
Pension & Other Post-Retirement Benefits;3.0;4.3;5.4;6.2;None;
Other Non-Current Liabilities;1.0;2.9;0.9;2.1;None;
TOTAL LIABILITIES;260.2;268.8;328.3;364.2;None;
Common Stock;8.7;12.2;12.3;17.3;None;
Additional Paid in Capital;492.3;642.7;642.3;705.2;None;
Retained Earnings;-16.7;--;--;--;None;
Treasury Stock;-0.2;-0.5;-0.5;-0.5;None;
Comprehensive Income and Other;-0.2;-61.9;-262.9;-501.4;None;
TOTAL COMMON EQUITY;484.0;592.5;391.1;220.6;None;
TOTAL EQUITY;484.4;592.5;391.0;220.6;None;
TOTAL LIABILITIES AND EQUITY;744.6;861.3;719.2;584.8;None;
