Millions of Euros;2011;2012;2013;2014;Trend;
Revenues;281.0;323.4;262.9;247.1;None;
TOTAL REVENUES;281.0;323.4;262.9;247.1;None;
Cost of Goods Sold;220.1;277.6;282.1;307.2;None;
GROSS PROFIT;60.9;45.8;-19.2;-60.1;None;
Selling General & Admin Expenses Total;35.0;50.1;55.6;50.1;None;
R&D Expenses;24.0;41.5;48.2;28.4;None;
Other Operating Expenses;--;--;3.9;6.3;None;
OTHER OPERATING EXPENSES TOTAL;59.0;91.7;107.7;84.8;None;
OPERATING INCOME;1.9;-45.9;-126.9;-144.9;None;
Interest Expense;-20.4;-16.2;-16.3;-29.0;None;
Interest and Investment Income;2.5;4.3;2.5;24.8;None;
NET INTEREST EXPENSE;-17.9;-11.9;-13.8;-4.2;None;
Income (Loss) on Equity Investments;--;-0.1;-0.9;-0.6;None;
Currency Exchange Gains (Loss);-1.5;3.1;2.2;-6.9;None;
Other Non-Operating Income (Expenses);--;0.0;0.0;-1.5;None;
EBT EXCLUDING UNUSUAL ITEMS;-17.5;-54.8;-139.5;-158.1;None;
Merger & Restructuring Charges;--;--;-2.8;-8.4;None;
Impairment of Goodwill;--;--;--;-30.7;None;
Gain (Loss) on Sale of Investments;0.2;-1.5;-0.2;-16.7;None;
Other Unusual Items Total;-0.1;--;-67.2;-23.1;None;
EBT INCLUDING UNUSUAL ITEMS;-17.5;-56.2;-209.7;-236.9;None;
Income Tax Expense;0.2;0.0;0.0;0.1;None;
Minority Interest in Earnings;-0.1;--;0.2;0.3;None;
Earnings from Continuing Operations;-17.7;-56.3;-209.7;-237.0;None;
NET INCOME;-17.8;-56.3;-209.5;-236.7;None;
NET INCOME TO COMMON INCLUDING EXTRA ITEMS;-17.8;-56.3;-209.5;-236.7;None;
NET INCOME TO COMMON EXCLUDING EXTRA ITEMS;-17.8;-56.3;-209.5;-236.7;None;
