Millions of US Dollars;2010;2011;2012;2013;Trend;
Revenues;10262.0;9630.0;8380.0;8050.0;None;
Other Revenues;84.0;105.0;113.0;32.0;None;
TOTAL REVENUES;10346.0;9735.0;8493.0;8082.0;None;
Cost of Goods Sold;6331.0;6161.0;5657.0;5468.0;None;
GROSS PROFIT;4015.0;3574.0;2836.0;2614.0;None;
Selling General & Admin Expenses Total;1175.0;1216.0;1166.0;1066.0;None;
R&D Expenses;2350.0;2352.0;2413.0;1816.0;None;
Other Operating Expenses;17.0;-114.0;-97.0;-44.0;None;
OTHER OPERATING EXPENSES TOTAL;3542.0;3454.0;3482.0;2838.0;None;
OPERATING INCOME;473.0;120.0;-646.0;-224.0;None;
Interest Expense;-34.0;-46.0;-76.0;-23.0;None;
Interest and Investment Income;31.0;21.0;41.0;18.0;None;
NET INTEREST EXPENSE;-3.0;-25.0;-35.0;-5.0;None;
Income (Loss) on Equity Investments;242.0;-28.0;-24.0;-122.0;None;
Currency Exchange Gains (Loss);11.0;8.0;5.0;8.0;None;
Other Non-Operating Income (Expenses);--;1.0;--;--;None;
EBT EXCLUDING UNUSUAL ITEMS;723.0;76.0;-700.0;-343.0;None;
Merger & Restructuring Charges;--;-75.0;-682.0;-231.0;None;
Impairment of Goodwill;--;--;-690.0;-38.0;None;
Gain (Loss) on Sale of Investments;-31.0;338.0;1.0;--;None;
Gain (Loss) on Sale of Assets;4.0;15.0;9.0;83.0;None;
Other Unusual Items Total;-5.0;-18.0;-75.0;-63.0;None;
Legal Settlements;-12.0;-22.0;-20.0;-40.0;None;
Other Unusual Items;7.0;4.0;-51.0;--;None;
EBT INCLUDING UNUSUAL ITEMS;691.0;336.0;-2137.0;-592.0;None;
Income Tax Expense;149.0;181.0;51.0;37.0;None;
Minority Interest in Earnings;288.0;495.0;1030.0;129.0;None;
Earnings from Continuing Operations;542.0;155.0;-2188.0;-629.0;None;
NET INCOME;830.0;650.0;-1158.0;-500.0;None;
NET INCOME TO COMMON INCLUDING EXTRA ITEMS;830.0;650.0;-1158.0;-500.0;None;
NET INCOME TO COMMON EXCLUDING EXTRA ITEMS;830.0;650.0;-1158.0;-500.0;None;
