Millions of Euros;2010;2011;2012;2013;Trend;
Assets;None;None;None;None;None;
Cash and Equivalents;3389.0;2771.0;3737.0;5528.0;None;
Short-Term Investments;38.0;104.0;127.0;28.0;None;
TOTAL CASH AND SHORT TERM INVESTMENTS;3427.0;2875.0;3864.0;5556.0;None;
Accounts Receivable;4441.0;5402.0;5289.0;5082.0;None;
Other Receivables;934.0;1376.0;949.0;984.0;None;
TOTAL RECEIVABLES;5375.0;6778.0;6238.0;6066.0;None;
Inventory;3139.0;3349.0;3090.0;3034.0;None;
Prepaid Expenses;160.0;180.0;172.0;194.0;None;
Other Current Assets;118.0;82.0;170.0;190.0;None;
TOTAL CURRENT ASSETS;12219.0;13264.0;13534.0;15040.0;None;
Gross Property Plant and Equipment;6221.0;6688.0;6846.0;6918.0;None;
Accumulated Depreciation;-3884.0;-4115.0;-4224.0;-4344.0;None;
NET PROPERTY PLANT AND EQUIPMENT;2337.0;2573.0;2622.0;2574.0;None;
Goodwill;10213.0;12773.0;12904.0;12912.0;None;
Long-Term Investments;1001.0;1046.0;832.0;463.0;None;
Deferred Tax Assets Long Term;1023.0;1468.0;1739.0;1753.0;None;
Deferred Charges Long Term;718.0;809.0;945.0;1053.0;None;
Other Intangibles;3540.0;3895.0;3574.0;3193.0;None;
TOTAL ASSETS;31051.0;35828.0;36150.0;36988.0;None;
None;None;None;None;None;None;
LIABILITIES & EQUITY;None;None;None;None;None;
Accounts Payable;3432.0;4094.0;3815.0;3713.0;None;
Short-Term Borrowings;373.0;1014.0;635.0;1857.0;None;
Current Portion of Long-Term Debt/Capital Lease;742.0;96.0;1091.0;1080.0;None;
Current Income Taxes Payable;1760.0;2307.0;1827.0;1871.0;None;
Other Current Liabilities Total;1568.0;1763.0;1596.0;1738.0;None;
TOTAL CURRENT LIABILITIES;7875.0;9274.0;8964.0;10259.0;None;
Long-Term Debt;5010.0;6927.0;6406.0;5922.0;None;
Minority Interest;204.0;192.0;174.0;151.0;None;
Pension & Other Post-Retirement Benefits;1504.0;1723.0;1959.0;1485.0;None;
Deferred Tax Liability Non-Current;957.0;944.0;1014.0;994.0;None;
Other Non-Current Liabilities;716.0;915.0;980.0;965.0;None;
TOTAL LIABILITIES;16062.0;19783.0;19323.0;19625.0;None;
Common Stock;2176.0;2196.0;2222.0;2248.0;None;
Additional Paid in Capital;6495.0;6690.0;6885.0;6992.0;None;
Retained Earnings;6207.0;6893.0;7668.0;8878.0;None;
Treasury Stock;-74.0;-74.0;-74.0;-74.0;None;
Comprehensive Income and Other;-19.0;148.0;-48.0;-832.0;None;
TOTAL COMMON EQUITY;14785.0;15853.0;16653.0;17212.0;None;
TOTAL EQUITY;14989.0;16045.0;16827.0;17363.0;None;
TOTAL LIABILITIES AND EQUITY;31051.0;35828.0;36150.0;36988.0;None;
