Millions of Euros;2010;2011;2012;2013;Trend;
Revenues;19580.0;22345.0;23946.0;23551.0;None;
TOTAL REVENUES;19580.0;22345.0;23946.0;23551.0;None;
Cost of Goods Sold;11842.0;13958.0;14889.0;14660.0;None;
GROSS PROFIT;7738.0;8387.0;9057.0;8891.0;None;
Selling General & Admin Expenses Total;4269.0;4703.0;5035.0;4944.0;None;
R&D Expenses;450.0;539.0;507.0;535.0;None;
Depreciation & Amortization Total;213.0;208.0;224.0;218.0;None;
Other Operating Expenses;-28.0;-50.0;-39.0;35.0;None;
OTHER OPERATING EXPENSES TOTAL;4904.0;5400.0;5727.0;5732.0;None;
OPERATING INCOME;2834.0;2987.0;3330.0;3159.0;None;
Interest Expense;-306.0;-331.0;-385.0;-368.0;None;
Interest and Investment Income;33.0;39.0;48.0;51.0;None;
NET INTEREST EXPENSE;-273.0;-292.0;-337.0;-317.0;None;
Income (Loss) on Equity Investments;6.0;28.0;34.0;22.0;None;
Currency Exchange Gains (Loss);25.0;-40.0;-21.0;-12.0;None;
Other Non-Operating Income (Expenses);-102.0;-37.0;-100.0;-104.0;None;
EBT EXCLUDING UNUSUAL ITEMS;2490.0;2646.0;2906.0;2748.0;None;
Merger & Restructuring Charges;-127.0;-244.0;-216.0;-228.0;None;
Impairment of Goodwill;-15.0;-15.0;-250.0;--;None;
Gain (Loss) on Sale of Investments;3.0;-1.0;12.0;-50.0;None;
Gain (Loss) on Sale of Assets;20.0;-1.0;-2.0;-2.0;None;
Other Unusual Items Total;-9.0;39.0;4.0;162.0;None;
Insurance Settlements;17.0;--;--;--;None;
Other Unusual Items;8.0;42.0;21.0;173.0;None;
EBT INCLUDING UNUSUAL ITEMS;2362.0;2424.0;2454.0;2630.0;None;
Income Tax Expense;566.0;547.0;554.0;665.0;None;
Minority Interest in Earnings;-76.0;-84.0;-87.0;-77.0;None;
Earnings from Continuing Operations;1796.0;1877.0;1900.0;1965.0;None;
NET INCOME;1720.0;1793.0;1813.0;1888.0;None;
NET INCOME TO COMMON INCLUDING EXTRA ITEMS;1720.0;1793.0;1813.0;1888.0;None;
NET INCOME TO COMMON EXCLUDING EXTRA ITEMS;1720.0;1793.0;1813.0;1888.0;None;
