Millions of Euros;2010;2011;2012;2013;Trend;
Assets;None;None;None;None;None;
Cash and Equivalents;1527.0;1448.0;1451.0;1347.0;None;
Short-Term Investments;--;--;--;336.0;None;
Trading Asset Securities;6.0;2.0;--;--;None;
TOTAL CASH AND SHORT TERM INVESTMENTS;1533.0;1450.0;1451.0;1683.0;None;
Accounts Receivable;2673.0;2779.0;3048.0;3076.0;None;
Notes Receivable;6.0;9.0;4.0;7.0;None;
Other Receivables;324.0;296.0;374.0;389.0;None;
TOTAL RECEIVABLES;3003.0;3084.0;3426.0;3472.0;None;
Inventory;235.0;252.0;296.0;271.0;None;
Prepaid Expenses;99.0;133.0;114.0;115.0;None;
Restricted Cash;578.0;622.0;609.0;398.0;None;
Other Current Assets;18.0;6.0;6.0;44.0;None;
TOTAL CURRENT ASSETS;5466.0;5547.0;5902.0;5983.0;None;
Gross Property Plant and Equipment;1499.0;1483.0;1728.0;1702.0;None;
Accumulated Depreciation;-968.0;-970.0;-1154.0;-1162.0;None;
NET PROPERTY PLANT AND EQUIPMENT;531.0;513.0;574.0;540.0;None;
Goodwill;4634.0;4283.0;5031.0;4803.0;None;
Long-Term Investments;336.0;329.0;413.0;400.0;None;
Loans Receivable Long Term;57.0;33.0;43.0;45.0;None;
Deferred Tax Assets Long Term;162.0;153.0;169.0;187.0;None;
Other Intangibles;527.0;492.0;563.0;528.0;None;
Other Long-Term Assets;62.0;59.0;95.0;122.0;None;
TOTAL ASSETS;11775.0;11409.0;12790.0;12608.0;None;
None;None;None;None;None;None;
LIABILITIES & EQUITY;None;None;None;None;None;
Accounts Payable;1444.0;1526.0;1792.0;1719.0;None;
Accrued Expenses;1122.0;1120.0;1268.0;1251.0;None;
Short-Term Borrowings;59.0;23.0;15.0;40.0;None;
Current Portion of Long-Term Debt/Capital Lease;150.0;156.0;136.0;712.0;None;
Current Portion of Capital Lease Obligations;20.0;19.0;20.0;15.0;None;
Current Income Taxes Payable;138.0;120.0;130.0;109.0;None;
Other Current Liabilities Total;2520.0;2891.0;2900.0;2975.0;None;
Unearned Revenue Current;292.0;62.0;59.0;78.0;None;
TOTAL CURRENT LIABILITIES;5725.0;5898.0;6300.0;6884.0;None;
Long-Term Debt;2484.0;2223.0;2518.0;1869.0;None;
Capital Leases;50.0;39.0;32.0;26.0;None;
Minority Interest;32.0;30.0;35.0;37.0;None;
Pension & Other Post-Retirement Benefits;348.0;281.0;381.0;372.0;None;
Deferred Tax Liability Non-Current;122.0;150.0;161.0;153.0;None;
Other Non-Current Liabilities;307.0;253.0;329.0;314.0;None;
TOTAL LIABILITIES;9036.0;8844.0;9721.0;9618.0;None;
Common Stock;628.0;628.0;628.0;628.0;None;
Additional Paid in Capital;1109.0;1109.0;1109.0;1109.0;None;
Retained Earnings;783.0;--;--;--;None;
Treasury Stock;-229.0;-391.0;-416.0;-392.0;None;
Comprehensive Income and Other;416.0;1189.0;1713.0;1608.0;None;
TOTAL COMMON EQUITY;2707.0;2535.0;3034.0;2953.0;None;
TOTAL EQUITY;2739.0;2565.0;3069.0;2990.0;None;
TOTAL LIABILITIES AND EQUITY;11775.0;11409.0;12790.0;12608.0;None;
