Millions of Euros;2010;2011;2012;2013;Trend;
Revenues;15230.0;16047.0;18236.0;18397.0;None;
TOTAL REVENUES;15230.0;16047.0;18236.0;18397.0;None;
Cost of Goods Sold;12846.0;13529.0;15379.0;15604.0;None;
GROSS PROFIT;2384.0;2518.0;2857.0;2793.0;None;
Selling General & Admin Expenses Total;1586.0;1646.0;1874.0;1951.0;None;
Other Operating Expenses;29.0;15.0;38.0;18.0;None;
OTHER OPERATING EXPENSES TOTAL;1615.0;1661.0;1912.0;1969.0;None;
OPERATING INCOME;769.0;857.0;945.0;824.0;None;
Interest Expense;-139.0;-143.0;-180.0;-163.0;None;
Interest and Investment Income;12.0;16.0;65.0;87.0;None;
NET INTEREST EXPENSE;-127.0;-127.0;-115.0;-76.0;None;
Income (Loss) on Equity Investments;14.0;15.0;18.0;17.0;None;
Currency Exchange Gains (Loss);-2.0;-4.0;-7.0;-7.0;None;
Other Non-Operating Income (Expenses);-19.0;-20.0;-5.0;-16.0;None;
EBT EXCLUDING UNUSUAL ITEMS;635.0;721.0;836.0;742.0;None;
Merger & Restructuring Charges;--;--;--;-47.0;None;
EBT INCLUDING UNUSUAL ITEMS;635.0;721.0;836.0;695.0;None;
Income Tax Expense;205.0;250.0;286.0;233.0;None;
Minority Interest in Earnings;-21.0;-20.0;-25.0;-23.0;None;
Earnings from Continuing Operations;430.0;471.0;550.0;462.0;None;
NET INCOME;409.0;451.0;525.0;439.0;None;
NET INCOME TO COMMON INCLUDING EXTRA ITEMS;409.0;451.0;525.0;439.0;None;
NET INCOME TO COMMON EXCLUDING EXTRA ITEMS;409.0;451.0;525.0;439.0;None;
