Millions of Euros;2010;2011;2012;2013;Trend;
Assets;None;None;None;None;None;
Cash and Equivalents;332.0;370.0;397.0;307.0;None;
TOTAL CASH AND SHORT TERM INVESTMENTS;332.0;370.0;397.0;307.0;None;
Accounts Receivable;771.0;713.0;526.0;545.0;None;
Other Receivables;38.0;81.0;180.0;218.0;None;
TOTAL RECEIVABLES;809.0;794.0;706.0;763.0;None;
Inventory;153.0;118.0;112.0;104.0;None;
Prepaid Expenses;34.0;42.0;35.0;36.0;None;
Restricted Cash;55.0;35.0;29.0;25.0;None;
Other Current Assets;252.0;153.0;141.0;103.0;None;
TOTAL CURRENT ASSETS;1635.0;1512.0;1420.0;1338.0;None;
Gross Property Plant and Equipment;1516.0;1266.0;1412.0;1339.0;None;
Accumulated Depreciation;-1086.0;-865.0;-1062.0;-1046.0;None;
NET PROPERTY PLANT AND EQUIPMENT;430.0;401.0;350.0;293.0;None;
Goodwill;644.0;481.0;478.0;450.0;None;
Long-Term Investments;22.0;22.0;25.0;19.0;None;
Deferred Tax Assets Long Term;488.0;394.0;388.0;364.0;None;
Other Intangibles;512.0;459.0;433.0;375.0;None;
Other Long-Term Assets;203.0;150.0;143.0;123.0;None;
TOTAL ASSETS;3934.0;3419.0;3237.0;2962.0;None;
None;None;None;None;None;None;
LIABILITIES & EQUITY;None;None;None;None;None;
Accounts Payable;528.0;499.0;445.0;450.0;None;
Accrued Expenses;338.0;305.0;330.0;330.0;None;
Short-Term Borrowings;--;--;1.0;1.0;None;
Current Portion of Long-Term Debt/Capital Lease;47.0;85.0;95.0;85.0;None;
Current Income Taxes Payable;17.0;14.0;13.0;10.0;None;
Other Current Liabilities Total;461.0;421.0;409.0;361.0;None;
TOTAL CURRENT LIABILITIES;1391.0;1324.0;1293.0;1237.0;None;
Long-Term Debt;1278.0;1242.0;1019.0;936.0;None;
Minority Interest;2.0;4.0;4.0;--;None;
Pension & Other Post-Retirement Benefits;332.0;349.0;353.0;322.0;None;
Deferred Tax Liability Non-Current;193.0;167.0;158.0;130.0;None;
Other Non-Current Liabilities;235.0;182.0;173.0;218.0;None;
TOTAL LIABILITIES;3429.0;3264.0;2996.0;2843.0;None;
Common Stock;175.0;224.0;335.0;335.0;None;
Additional Paid in Capital;641.0;857.0;940.0;940.0;None;
Retained Earnings;-791.0;-1122.0;--;--;None;
Treasury Stock;-156.0;-156.0;-156.0;-156.0;None;
Comprehensive Income and Other;634.0;348.0;-882.0;-1000.0;None;
TOTAL COMMON EQUITY;503.0;151.0;237.0;119.0;None;
TOTAL EQUITY;505.0;155.0;241.0;119.0;None;
TOTAL LIABILITIES AND EQUITY;3934.0;3419.0;3237.0;2962.0;None;
