Millions of Euros;2010;2011;2012;2013;Trend;
Revenues;3574.0;3450.0;3580.0;3450.0;None;
TOTAL REVENUES;3574.0;3450.0;3580.0;3450.0;None;
Cost of Goods Sold;2795.0;2714.0;2750.0;2627.0;None;
GROSS PROFIT;779.0;736.0;830.0;823.0;None;
Selling General & Admin Expenses Total;397.0;391.0;410.0;353.0;None;
R&D Expenses;148.0;128.0;132.0;143.0;None;
Other Operating Expenses;--;--;-47.0;8.0;None;
OTHER OPERATING EXPENSES TOTAL;545.0;519.0;495.0;504.0;None;
OPERATING INCOME;234.0;217.0;335.0;319.0;None;
Interest Expense;-145.0;-154.0;-149.0;-117.0;None;
Interest and Investment Income;6.0;5.0;4.0;5.0;None;
NET INTEREST EXPENSE;-139.0;-149.0;-145.0;-112.0;None;
Income (Loss) on Equity Investments;--;--;-5.0;-6.0;None;
Currency Exchange Gains (Loss);-55.0;-1.0;-6.0;2.0;None;
Other Non-Operating Income (Expenses);-49.0;-20.0;-13.0;-90.0;None;
EBT EXCLUDING UNUSUAL ITEMS;-9.0;47.0;166.0;113.0;None;
Merger & Restructuring Charges;-41.0;-86.0;-42.0;-68.0;None;
Impairment of Goodwill;-183.0;--;--;--;None;
Gain (Loss) on Sale of Investments;--;6.0;--;--;None;
Gain (Loss) on Sale of Assets;6.0;3.0;-7.0;-8.0;None;
Other Unusual Items Total;381.0;-190.0;-55.0;-107.0;None;
Legal Settlements;--;--;-25.0;--;None;
Other Unusual Items;381.0;-2.0;-20.0;-76.0;None;
EBT INCLUDING UNUSUAL ITEMS;154.0;-220.0;62.0;-70.0;None;
Income Tax Expense;-2.0;83.0;49.0;41.0;None;
Minority Interest in Earnings;--;1.0;2.0;5.0;None;
Earnings from Continuing Operations;156.0;-303.0;13.0;-111.0;None;
EARNINGS FROM DISCOUNTINUED OPERATIONS;-225.0;-21.0;-35.0;19.0;None;
NET INCOME;-69.0;-323.0;-20.0;-87.0;None;
NET INCOME TO COMMON INCLUDING EXTRA ITEMS;-90.0;-323.0;-20.0;-87.0;None;
NET INCOME TO COMMON EXCLUDING EXTRA ITEMS;135.0;-302.0;15.0;-106.0;None;
