Millions of Euros;2010;2011;2012;2013;Trend;
Assets;None;None;None;None;None;
Cash and Equivalents;3105.7;2808.7;2289.3;3241.0;None;
TOTAL CASH AND SHORT TERM INVESTMENTS;3105.7;2808.7;2289.3;3241.0;None;
Accounts Receivable;1655.2;1851.8;1727.1;2150.2;None;
Notes Receivable;11.5;6.0;6.0;6.9;None;
Other Receivables;443.2;500.4;543.1;459.4;None;
TOTAL RECEIVABLES;2109.9;2358.2;2276.2;2616.5;None;
Inventory;221.5;254.6;296.8;276.3;None;
Prepaid Expenses;78.3;128.0;122.9;106.4;None;
Other Current Assets;236.0;239.8;272.4;599.5;None;
TOTAL CURRENT ASSETS;5751.4;5789.3;5257.6;6839.7;None;
Gross Property Plant and Equipment;2684.2;3608.4;3933.5;4157.6;None;
Accumulated Depreciation;-1212.2;-1414.9;-1523.0;-1538.2;None;
NET PROPERTY PLANT AND EQUIPMENT;1472.0;2193.5;2410.5;2619.4;None;
Goodwill;2379.1;3112.4;3273.0;3226.1;None;
Long-Term Investments;203.4;209.3;179.2;118.7;None;
Loans Receivable Long Term;14.0;11.9;10.7;11.5;None;
Deferred Tax Assets Long Term;324.6;319.2;333.0;274.8;None;
Other Intangibles;55.4;61.4;106.1;106.6;None;
Other Long-Term Assets;22.1;73.5;54.3;54.2;None;
TOTAL ASSETS;10222.0;11770.5;11624.4;13251.0;None;
None;None;None;None;None;None;
LIABILITIES & EQUITY;None;None;None;None;None;
Accounts Payable;1862.1;2244.3;2094.5;2481.0;None;
Accrued Expenses;1215.2;1312.7;949.2;713.8;None;
Short-Term Borrowings;14.2;343.8;400.4;174.5;None;
Current Portion of Long-Term Debt/Capital Lease;667.1;254.4;--;--;None;
Current Income Taxes Payable;145.2;164.9;140.5;165.1;None;
Other Current Liabilities Total;1045.2;1085.4;936.7;865.1;None;
Unearned Revenue Current;723.9;766.6;920.5;1758.1;None;
TOTAL CURRENT LIABILITIES;5672.9;6172.1;5441.8;6157.6;None;
Long-Term Debt;1092.1;1553.4;1705.7;2403.4;None;
Minority Interest;22.3;21.7;13.2;17.3;None;
Unearned Revenue Non-Current;13.9;11.4;9.4;11.4;None;
Pension & Other Post-Retirement Benefits;94.0;105.0;194.7;234.5;None;
Deferred Tax Liability Non-Current;93.4;138.2;209.6;179.3;None;
Other Non-Current Liabilities;53.6;117.1;101.1;90.7;None;
TOTAL LIABILITIES;7019.9;8097.2;7662.3;9076.9;None;
Common Stock;84.1;84.6;86.2;86.7;None;
Additional Paid in Capital;1750.1;1784.0;1898.2;1923.3;None;
Retained Earnings;417.6;507.3;543.3;563.1;None;
Treasury Stock;-137.9;-109.3;-148.8;-133.6;None;
Comprehensive Income and Other;1065.9;1385.0;1570.0;1717.3;None;
TOTAL COMMON EQUITY;3179.8;3651.6;3948.9;4156.8;None;
TOTAL EQUITY;3202.1;3673.3;3962.1;4174.1;None;
TOTAL LIABILITIES AND EQUITY;10222.0;11770.5;11624.4;13251.0;None;
