Millions of Euros;2010;2011;2012;2013;Trend;
Revenues;6081.9;6813.0;8203.9;9336.1;None;
TOTAL REVENUES;6081.9;6813.0;8203.9;9336.1;None;
Cost of Goods Sold;4897.0;5526.4;6652.3;7718.7;None;
GROSS PROFIT;1184.9;1286.6;1551.6;1617.4;None;
Selling General & Admin Expenses Total;486.0;522.6;681.2;723.9;None;
R&D Expenses;56.6;65.3;68.7;75.5;None;
Other Operating Expenses;11.9;-1.0;-14.3;-1.9;None;
OTHER OPERATING EXPENSES TOTAL;554.5;586.9;735.6;797.5;None;
OPERATING INCOME;630.4;699.7;816.0;819.9;None;
Interest Expense;-54.1;-75.2;-94.2;-91.8;None;
Interest and Investment Income;60.1;62.3;54.2;51.7;None;
NET INTEREST EXPENSE;6.0;-12.9;-40.0;-40.1;None;
Income (Loss) on Equity Investments;0.1;2.3;4.4;4.6;None;
Currency Exchange Gains (Loss);-16.3;41.3;-11.6;-32.9;None;
Other Non-Operating Income (Expenses);-3.9;-6.4;-11.3;-14.7;None;
EBT EXCLUDING UNUSUAL ITEMS;616.3;724.0;757.5;736.8;None;
Merger & Restructuring Charges;--;-15.7;-9.5;--;None;
Gain (Loss) on Sale of Investments;16.5;--;-0.1;7.0;None;
Gain (Loss) on Sale of Assets;-16.1;2.9;5.0;12.4;None;
Other Unusual Items Total;-22.1;--;--;5.1;None;
Insurance Settlements;--;--;--;5.1;None;
Other Unusual Items;-22.1;--;--;--;None;
EBT INCLUDING UNUSUAL ITEMS;594.6;711.2;752.9;761.3;None;
Income Tax Expense;179.4;208.7;206.2;191.3;None;
Minority Interest in Earnings;2.4;4.8;-3.4;-6.9;None;
Earnings from Continuing Operations;415.2;502.5;546.7;570.0;None;
NET INCOME;417.6;507.3;543.3;563.1;None;
NET INCOME TO COMMON INCLUDING EXTRA ITEMS;417.6;507.3;543.3;563.1;None;
NET INCOME TO COMMON EXCLUDING EXTRA ITEMS;417.6;507.3;543.3;563.1;None;
