Millions of Euros;2010;2011;2012;2013;Trend;
Revenues;1918.9;2088.4;2291.5;2516.4;None;
Other Revenues;--;-0.1;--;--;None;
TOTAL REVENUES;1918.9;2088.3;2291.5;2516.4;None;
Cost of Goods Sold;1475.6;1656.1;1757.0;1886.2;None;
GROSS PROFIT;443.3;432.2;534.5;630.2;None;
Selling General & Admin Expenses Total;306.1;325.8;346.8;412.3;None;
R&D Expenses;15.6;18.1;19.8;25.8;None;
Other Operating Expenses;-7.8;-5.1;2.7;6.2;None;
OTHER OPERATING EXPENSES TOTAL;313.9;338.8;369.3;444.3;None;
OPERATING INCOME;129.4;93.4;165.2;185.9;None;
Interest Expense;-12.8;-13.0;-13.1;-16.4;None;
Interest and Investment Income;2.0;1.4;2.0;1.3;None;
NET INTEREST EXPENSE;-10.8;-11.6;-11.1;-15.1;None;
Income (Loss) on Equity Investments;-0.2;--;-1.9;-1.4;None;
Currency Exchange Gains (Loss);0.8;-2.1;-2.5;-4.1;None;
Other Non-Operating Income (Expenses);-3.7;-4.1;-6.6;-5.6;None;
EBT EXCLUDING UNUSUAL ITEMS;115.5;75.6;143.1;159.7;None;
Merger & Restructuring Charges;-2.7;-4.5;-13.8;-5.7;None;
Impairment of Goodwill;5.6;--;--;--;None;
Gain (Loss) on Sale of Investments;-1.0;--;-0.1;--;None;
Gain (Loss) on Sale of Assets;0.1;-0.1;--;0.3;None;
Other Unusual Items Total;-1.0;-1.0;-1.7;-6.1;None;
Other Unusual Items;-1.0;-1.0;--;--;None;
EBT INCLUDING UNUSUAL ITEMS;116.5;70.0;127.5;148.2;None;
Income Tax Expense;5.0;44.8;42.3;47.9;None;
Minority Interest in Earnings;-0.5;1.9;-1.6;-1.2;None;
Earnings from Continuing Operations;111.5;25.2;85.2;100.3;None;
NET INCOME;111.0;27.1;83.6;99.1;None;
NET INCOME TO COMMON INCLUDING EXTRA ITEMS;111.0;27.1;83.6;99.1;None;
NET INCOME TO COMMON EXCLUDING EXTRA ITEMS;111.0;27.1;83.6;99.1;None;
