Millions of Euros;2011;2012;2013;2014;Trend;
Assets;None;None;None;None;None;
Cash and Equivalents;193.4;175.7;237.7;237.9;None;
Short-Term Investments;29.1;14.6;5.1;--;None;
TOTAL CASH AND SHORT TERM INVESTMENTS;222.5;190.3;242.8;237.9;None;
Accounts Receivable;49.3;-13.1;36.6;73.3;None;
Other Receivables;58.7;84.4;101.4;72.5;None;
TOTAL RECEIVABLES;108.0;71.2;138.0;145.8;None;
Inventory;35.2;20.0;17.7;21.3;None;
Prepaid Expenses;8.3;10.9;18.2;18.1;None;
Other Current Assets;3.0;2.6;3.9;2.7;None;
TOTAL CURRENT ASSETS;377.0;295.1;420.6;425.9;None;
Gross Property Plant and Equipment;102.4;115.5;139.1;147.1;None;
Accumulated Depreciation;-67.5;-76.3;-92.6;-90.3;None;
NET PROPERTY PLANT AND EQUIPMENT;34.8;39.2;46.5;56.7;None;
Goodwill;108.1;147.8;145.9;138.3;None;
Long-Term Investments;0.6;0.6;0.4;0.0;None;
Deferred Tax Assets Long Term;82.5;92.3;92.9;116.2;None;
Other Intangibles;451.7;520.5;547.2;598.5;None;
Other Long-Term Assets;3.1;3.1;3.8;3.6;None;
TOTAL ASSETS;1057.9;1098.6;1257.4;1339.3;None;
None;None;None;None;None;None;
LIABILITIES & EQUITY;None;None;None;None;None;
Accounts Payable;109.2;79.4;75.6;92.2;None;
Accrued Expenses;82.3;82.3;110.4;92.5;None;
Short-Term Borrowings;70.8;89.2;107.8;184.8;None;
Current Portion of Long-Term Debt/Capital Lease;22.0;1.9;1.0;4.5;None;
Current Portion of Capital Lease Obligations;0.2;0.2;0.1;0.1;None;
Current Income Taxes Payable;7.0;3.1;3.8;5.0;None;
Other Current Liabilities Total;12.7;31.0;32.2;28.8;None;
Unearned Revenue Current;3.6;4.6;6.1;9.1;None;
TOTAL CURRENT LIABILITIES;307.5;291.5;336.9;416.9;None;
Long-Term Debt;1.2;0.9;24.0;63.1;None;
Capital Leases;0.7;0.5;0.5;0.4;None;
Pension & Other Post-Retirement Benefits;1.2;1.6;3.0;3.7;None;
Deferred Tax Liability Non-Current;31.0;37.4;49.2;41.0;None;
Other Non-Current Liabilities;2.3;3.9;5.7;4.3;None;
TOTAL LIABILITIES;343.9;335.9;419.2;529.3;None;
Common Stock;7.3;7.4;7.4;8.2;None;
Additional Paid in Capital;527.5;265.4;275.8;337.3;None;
Retained Earnings;-52.1;37.3;64.8;-65.5;None;
Treasury Stock;-0.2;-0.6;-0.2;--;None;
Comprehensive Income and Other;231.6;453.3;490.3;530.1;None;
TOTAL COMMON EQUITY;714.0;762.7;838.2;810.0;None;
TOTAL EQUITY;714.0;762.7;838.2;810.0;None;
TOTAL LIABILITIES AND EQUITY;1057.9;1098.6;1257.4;1339.3;None;
