Millions of Euros;2011;2012;2013;2014;Trend;
Revenues;1038.8;1061.3;1256.2;1007.1;None;
TOTAL REVENUES;1038.8;1061.3;1256.2;1007.1;None;
Cost of Goods Sold;365.2;343.2;342.7;285.3;None;
GROSS PROFIT;673.6;718.1;913.5;721.8;None;
Selling General & Admin Expenses Total;285.8;317.5;386.3;363.2;None;
R&D Expenses;369.6;355.0;435.0;433.9;None;
OTHER OPERATING EXPENSES TOTAL;655.4;672.5;821.3;797.1;None;
OPERATING INCOME;18.2;45.6;92.2;-75.3;None;
Interest Expense;-6.5;-4.3;-5.0;-6.2;None;
Interest and Investment Income;1.5;1.8;0.4;0.4;None;
NET INTEREST EXPENSE;-5.1;-2.5;-4.6;-5.8;None;
Income (Loss) on Equity Investments;--;0.0;0.0;--;None;
Currency Exchange Gains (Loss);-4.3;-3.4;0.7;-1.1;None;
Other Non-Operating Income (Expenses);-0.3;-0.1;0.7;12.9;None;
EBT EXCLUDING UNUSUAL ITEMS;8.6;39.6;89.0;-69.3;None;
Merger & Restructuring Charges;-91.7;--;--;--;None;
Impairment of Goodwill;-1.4;--;-3.6;-16.0;None;
Gain (Loss) on Sale of Investments;6.0;8.5;7.2;4.4;None;
Other Unusual Items Total;-5.7;--;-0.7;-6.6;None;
Other Unusual Items;-5.7;--;--;--;None;
EBT INCLUDING UNUSUAL ITEMS;-84.2;48.1;91.9;-87.6;None;
Income Tax Expense;-32.0;10.8;27.1;-22.1;None;
Earnings from Continuing Operations;-52.1;37.3;64.8;-65.5;None;
NET INCOME;-52.1;37.3;64.8;-65.5;None;
NET INCOME TO COMMON INCLUDING EXTRA ITEMS;-52.1;37.3;64.8;-65.5;None;
NET INCOME TO COMMON EXCLUDING EXTRA ITEMS;-52.1;37.3;64.8;-65.5;None;
