Millions of Euros;2010;2011;2012;2013;Trend;
Assets;None;None;None;None;None;
Cash and Equivalents;10467.0;6120.0;6811.0;7755.0;None;
Trading Asset Securities;--;--;688.0;--;None;
TOTAL CASH AND SHORT TERM INVESTMENTS;10467.0;6120.0;7499.0;7755.0;None;
Accounts Receivable;1876.0;2220.0;1827.0;1665.0;None;
Notes Receivable;282.0;238.0;812.0;132.0;None;
Other Receivables;2769.0;2965.0;2949.0;2354.0;None;
TOTAL RECEIVABLES;4927.0;5423.0;5588.0;4151.0;None;
Inventory;5947.0;6609.0;6193.0;5626.0;None;
Finance Division Loans and Leases Current;23338.0;24307.0;23095.0;21280.0;None;
Finance Division Other Current Assets;805.0;877.0;867.0;829.0;None;
Other Current Assets;24.0;27.0;10.0;52.0;None;
TOTAL CURRENT ASSETS;45508.0;43363.0;43252.0;39693.0;None;
Gross Property Plant and Equipment;38180.0;39579.0;39886.0;39241.0;None;
Accumulated Depreciation;-27092.0;-28198.0;-30035.0;-30707.0;None;
NET PROPERTY PLANT AND EQUIPMENT;11088.0;11381.0;9851.0;8534.0;None;
Goodwill;1428.0;1505.0;1487.0;1484.0;None;
Long-Term Investments;1605.0;2163.0;2204.0;2182.0;None;
Finance Division Other Long-Term Assets;2837.0;2903.0;2910.0;2678.0;None;
Loans Receivable Long Term;150.0;157.0;--;--;None;
Deferred Tax Assets Long Term;419.0;1370.0;536.0;459.0;None;
Deferred Charges Long Term;4519.0;4958.0;3757.0;3659.0;None;
Other Intangibles;427.0;511.0;376.0;373.0;None;
Other Long-Term Assets;510.0;680.0;511.0;602.0;None;
TOTAL ASSETS;68491.0;68991.0;64884.0;59664.0;None;
None;None;None;None;None;None;
LIABILITIES & EQUITY;None;None;None;None;None;
Accounts Payable;9561.0;9665.0;8463.0;8165.0;None;
Accrued Expenses;5.0;4.0;2.0;1.0;None;
Short-Term Borrowings;1130.0;1655.0;1072.0;1335.0;None;
Current Portion of Long-Term Debt/Capital Lease;2078.0;481.0;1790.0;1660.0;None;
Current Portion of Capital Lease Obligations;254.0;155.0;90.0;61.0;None;
Finance Division Other Current Liabilities;46.0;57.0;76.0;89.0;None;
Current Income Taxes Payable;117.0;120.0;167.0;144.0;None;
Other Current Liabilities Total;7062.0;7676.0;8291.0;7221.0;None;
TOTAL CURRENT LIABILITIES;41551.0;41944.0;41722.0;38843.0;None;
Long-Term Debt;7947.0;7380.0;7581.0;7884.0;None;
Capital Leases;295.0;242.0;243.0;194.0;None;
Minority Interest;475.0;658.0;700.0;909.0;None;
Finance Division Other Non-Current Liabilities;412.0;369.0;345.0;363.0;None;
Deferred Tax Liability Non-Current;490.0;984.0;475.0;475.0;None;
Other Non-Current Liabilities;3493.0;3578.0;4351.0;4114.0;None;
TOTAL LIABILITIES;54188.0;54497.0;54717.0;51873.0;None;
Common Stock;234.0;234.0;355.0;355.0;None;
Retained Earnings;13499.0;13850.0;9597.0;7310.0;None;
Treasury Stock;-303.0;-502.0;-351.0;-351.0;None;
Comprehensive Income and Other;398.0;254.0;-134.0;-432.0;None;
TOTAL COMMON EQUITY;13828.0;13836.0;9467.0;6882.0;None;
TOTAL EQUITY;14303.0;14494.0;10167.0;7791.0;None;
TOTAL LIABILITIES AND EQUITY;68491.0;68991.0;64884.0;59664.0;None;
