Millions of Euros;2010;2011;2012;2013;Trend;
Revenues;56061.0;58509.0;55446.0;54090.0;None;
TOTAL REVENUES;56061.0;58509.0;55446.0;54090.0;None;
Cost of Goods Sold;45588.0;48856.0;47582.0;45964.0;None;
GROSS PROFIT;10473.0;9653.0;7864.0;8126.0;None;
Selling General & Admin Expenses Total;6643.0;6440.0;6404.0;6444.0;None;
R&D Expenses;2075.0;2152.0;2047.0;1885.0;None;
OTHER OPERATING EXPENSES TOTAL;8718.0;8592.0;8451.0;8329.0;None;
OPERATING INCOME;1755.0;1061.0;-587.0;-203.0;None;
Interest Expense;-440.0;-295.0;-419.0;-596.0;None;
Interest and Investment Income;86.0;113.0;72.0;138.0;None;
NET INTEREST EXPENSE;-354.0;-182.0;-347.0;-458.0;None;
Income (Loss) on Equity Investments;204.0;172.0;160.0;176.0;None;
Currency Exchange Gains (Loss);-8.0;-25.0;-16.0;-22.0;None;
Other Non-Operating Income (Expenses);-26.0;-163.0;-40.0;-241.3;None;
EBT EXCLUDING UNUSUAL ITEMS;1571.0;863.0;-830.0;-748.3;None;
Merger & Restructuring Charges;-196.0;-310.0;-528.0;-460.0;None;
Impairment of Goodwill;84.0;--;57.0;-17.0;None;
Gain (Loss) on Sale of Investments;--;--;--;89.3;None;
Other Unusual Items Total;52.0;-34.0;-3651.0;-692.0;None;
Other Unusual Items;59.0;55.0;-644.0;153.0;None;
EBT INCLUDING UNUSUAL ITEMS;1511.0;519.0;-4952.0;-1828.0;None;
Income Tax Expense;255.0;-115.0;774.0;387.0;None;
Minority Interest in Earnings;-122.0;-196.0;-85.0;-99.0;None;
Earnings from Continuing Operations;1256.0;634.0;-5726.0;-2215.0;None;
EARNINGS FROM DISCOUNTINUED OPERATIONS;--;150.0;803.0;-3.0;None;
NET INCOME;1134.0;588.0;-5008.0;-2317.0;None;
NET INCOME TO COMMON INCLUDING EXTRA ITEMS;1134.0;588.0;-5008.0;-2317.0;None;
NET INCOME TO COMMON EXCLUDING EXTRA ITEMS;1134.0;438.0;-5811.0;-2314.0;None;
