Millions of Euros;2010;2011;2012;2013;Trend;
Assets;None;None;None;None;None;
Cash and Equivalents;84.0;82.3;59.3;103.7;None;
TOTAL CASH AND SHORT TERM INVESTMENTS;84.0;82.3;59.3;103.7;None;
Accounts Receivable;306.6;282.5;275.4;344.2;None;
Other Receivables;362.3;337.8;394.0;491.3;None;
TOTAL RECEIVABLES;668.9;620.3;669.4;835.5;None;
Other Current Assets;1046.9;274.6;61.1;245.8;None;
TOTAL CURRENT ASSETS;1799.8;977.2;789.8;1185.0;None;
Gross Property Plant and Equipment;22279.8;24355.2;25870.8;28755.7;None;
Accumulated Depreciation;-91.6;-100.9;--;--;None;
NET PROPERTY PLANT AND EQUIPMENT;22188.2;24254.3;25870.8;28755.7;None;
Goodwill;265.6;296.8;269.4;269.4;None;
Deferred Tax Assets Long Term;10.0;6.0;4.1;8.7;None;
Other Intangibles;170.8;211.3;206.1;217.5;None;
Other Long-Term Assets;331.8;328.3;308.8;151.6;None;
TOTAL ASSETS;24977.1;26403.3;29462.1;32344.5;None;
None;None;None;None;None;None;
LIABILITIES & EQUITY;None;None;None;None;None;
Accounts Payable;118.7;117.3;124.4;122.7;None;
Accrued Expenses;116.1;108.4;117.1;137.5;None;
Short-Term Borrowings;668.8;739.4;1151.7;769.7;None;
Current Portion of Capital Lease Obligations;3.3;4.6;2.6;3.7;None;
Current Income Taxes Payable;7.5;13.8;26.7;7.9;None;
Other Current Liabilities Total;478.6;487.3;689.0;773.3;None;
Unearned Revenue Current;170.9;180.2;187.7;177.0;None;
TOTAL CURRENT LIABILITIES;2997.4;3220.8;3385.6;2905.8;None;
Long-Term Debt;8315.0;8679.7;10088.9;12017.0;None;
Capital Leases;59.0;120.8;121.3;117.6;None;
Minority Interest;1345.4;1419.4;1583.1;2179.8;None;
Pension & Other Post-Retirement Benefits;13.6;10.9;20.0;13.9;None;
Deferred Tax Liability Non-Current;850.5;965.3;997.9;1013.1;None;
Other Non-Current Liabilities;371.0;350.3;362.8;393.4;None;
TOTAL LIABILITIES;12606.5;13347.8;14976.5;16460.8;None;
Common Stock;458.7;459.0;474.5;486.4;None;
Additional Paid in Capital;5948.2;5712.0;5838.2;6139.8;None;
Retained Earnings;2187.6;1324.6;1458.6;1290.6;None;
Comprehensive Income and Other;2430.7;4140.5;5131.2;5787.1;None;
TOTAL COMMON EQUITY;11025.2;11636.1;12902.5;13703.9;None;
TOTAL EQUITY;12370.6;13055.5;14485.6;15883.7;None;
TOTAL LIABILITIES AND EQUITY;24977.1;26403.3;29462.1;32344.5;None;
