Millions of Euros;2010;2011;2012;2013;Trend;
Other Revenues;3.5;4.2;151.5;70.3;None;
TOTAL REVENUES;1488.0;1472.3;1657.6;1654.6;None;
Cost of Goods Sold;218.6;210.5;226.8;234.3;None;
GROSS PROFIT;1269.4;1261.8;1430.8;1420.3;None;
Selling General & Admin Expenses Total;95.2;84.4;82.2;80.5;None;
Depreciation & Amortization Total;2.3;2.3;2.3;2.2;None;
Other Operating Expenses;-43.8;-42.4;-56.6;-54.3;None;
OTHER OPERATING EXPENSES TOTAL;-43.8;-42.4;-56.6;-54.3;None;
OPERATING INCOME;1215.7;1217.5;1402.9;1391.9;None;
Interest Expense;-348.6;-378.1;-420.6;-411.7;None;
Interest and Investment Income;85.1;97.2;116.5;118.8;None;
NET INTEREST EXPENSE;-263.5;-280.9;-304.1;-292.9;None;
Currency Exchange Gains (Loss);2.2;0.2;--;--;None;
Other Non-Operating Income (Expenses);-104.8;-0.1;0.0;-0.1;None;
Merger & Restructuring Charges;-15.8;-2.9;-2.1;-6.1;None;
Impairment of Goodwill;-2.1;--;--;--;None;
Gain (Loss) on Sale of Investments;-1.8;31.1;-1.5;2.7;None;
Gain (Loss) on Sale of Assets;113.7;36.1;17.9;7.3;None;
Other Unusual Items Total;1662.9;637.8;703.8;475.7;None;
Legal Settlements;-15.7;-0.8;-3.5;-1.9;None;
Other Unusual Items;-23.8;-190.6;-448.2;-40.5;None;
EBT INCLUDING UNUSUAL ITEMS;2606.5;1638.8;1816.9;1578.5;None;
Income Tax Expense;121.0;120.9;132.6;36.0;None;
Minority Interest in Earnings;-297.9;-193.3;-225.7;-251.9;None;
Earnings from Continuing Operations;2485.5;1517.9;1684.3;1542.5;None;
NET INCOME;2187.6;1324.6;1458.6;1290.6;None;
NET INCOME TO COMMON INCLUDING EXTRA ITEMS;2187.6;1324.6;1458.6;1290.6;None;
NET INCOME TO COMMON EXCLUDING EXTRA ITEMS;2187.6;1324.6;1458.6;1290.6;None;
