Millions of Euros;2010;2011;2012;2013;Trend;
Assets;None;None;None;None;None;
Cash and Equivalents;296.2;359.4;237.3;241.9;None;
TOTAL CASH AND SHORT TERM INVESTMENTS;296.2;359.4;237.3;241.9;None;
Accounts Receivable;302.8;350.0;354.9;348.3;None;
Other Receivables;156.0;161.6;175.9;157.8;None;
TOTAL RECEIVABLES;458.8;511.6;530.8;506.1;None;
Inventory;356.5;360.1;381.9;359.7;None;
TOTAL CURRENT ASSETS;1111.5;1231.1;1150.0;1107.8;None;
Gross Property Plant and Equipment;3840.9;3965.7;4178.1;4075.6;None;
Accumulated Depreciation;-1661.0;-1786.6;-1906.9;-1973.6;None;
NET PROPERTY PLANT AND EQUIPMENT;2179.8;2179.1;2271.2;2102.0;None;
Goodwill;1031.2;1000.2;995.3;946.6;None;
Long-Term Investments;38.5;37.9;37.7;120.0;None;
Loans Receivable Long Term;--;--;--;43.8;None;
Deferred Tax Assets Long Term;2.6;2.1;89.2;101.7;None;
Other Intangibles;101.5;100.8;100.4;100.1;None;
Other Long-Term Assets;101.3;175.4;119.9;27.3;None;
TOTAL ASSETS;4566.5;4726.6;4763.8;4549.2;None;
None;None;None;None;None;None;
LIABILITIES & EQUITY;None;None;None;None;None;
Accounts Payable;238.6;241.9;260.2;276.6;None;
Accrued Expenses;77.2;91.0;94.2;87.9;None;
Short-Term Borrowings;15.1;33.8;23.4;24.7;None;
Current Portion of Long-Term Debt/Capital Lease;75.4;72.4;200.6;147.9;None;
Current Portion of Capital Lease Obligations;3.3;2.9;3.1;2.3;None;
Current Income Taxes Payable;9.5;16.1;27.8;25.4;None;
Other Current Liabilities Total;83.5;102.1;97.0;101.8;None;
TOTAL CURRENT LIABILITIES;499.3;557.1;703.2;664.3;None;
Long-Term Debt;1190.5;1358.9;1180.6;1186.8;None;
Capital Leases;3.3;5.2;5.7;3.2;None;
Minority Interest;416.1;349.1;334.0;282.2;None;
Pension & Other Post-Retirement Benefits;49.7;52.6;121.0;87.6;None;
Deferred Tax Liability Non-Current;146.5;171.4;216.2;215.8;None;
Other Non-Current Liabilities;120.1;120.5;122.3;99.6;None;
TOTAL LIABILITIES;2009.4;2265.8;2348.9;2257.2;None;
Common Stock;179.6;179.6;179.6;179.6;None;
Additional Paid in Capital;11.2;11.2;11.2;11.2;None;
Treasury Stock;-85.3;-83.9;-78.7;-73.9;None;
Comprehensive Income and Other;2035.5;2004.8;1968.7;1892.9;None;
TOTAL COMMON EQUITY;2141.0;2111.8;2080.8;2009.7;None;
TOTAL EQUITY;2557.1;2460.8;2414.8;2292.0;None;
TOTAL LIABILITIES AND EQUITY;4566.5;4726.6;4763.8;4549.2;None;
