Millions of Euros;2010;2011;2012;2013;Trend;
Revenues;2013.7;2265.5;2292.2;2286.0;None;
TOTAL REVENUES;2013.7;2265.5;2292.2;2286.0;None;
Cost of Goods Sold;1182.5;1395.6;1461.3;1481.7;None;
GROSS PROFIT;831.1;869.9;830.9;804.3;None;
Selling General & Admin Expenses Total;236.4;353.0;269.0;271.2;None;
Depreciation & Amortization Total;158.5;165.4;193.5;188.9;None;
Other Operating Expenses;97.7;38.1;127.9;114.0;None;
OTHER OPERATING EXPENSES TOTAL;492.6;556.5;590.4;574.1;None;
OPERATING INCOME;338.6;313.4;240.5;230.2;None;
Interest Expense;-46.2;-60.9;-52.9;-60.4;None;
Interest and Investment Income;22.7;23.7;20.7;18.4;None;
NET INTEREST EXPENSE;-23.6;-37.2;-32.2;-42.0;None;
Income (Loss) on Equity Investments;2.7;1.6;3.1;3.9;None;
Currency Exchange Gains (Loss);-1.3;0.1;-3.1;-4.0;None;
Other Non-Operating Income (Expenses);-2.5;-6.8;-3.4;-7.0;None;
EBT EXCLUDING UNUSUAL ITEMS;313.9;271.1;204.8;181.1;None;
Gain (Loss) on Sale of Investments;--;0.0;--;--;None;
Gain (Loss) on Sale of Assets;6.3;2.0;3.1;4.8;None;
Other Unusual Items Total;-11.4;-13.7;-0.5;-5.4;None;
Other Unusual Items;-11.4;-11.9;-0.5;-5.4;None;
EBT INCLUDING UNUSUAL ITEMS;308.8;259.4;207.3;180.5;None;
Income Tax Expense;44.6;66.3;59.5;57.2;None;
Minority Interest in Earnings;-61.5;-29.5;-18.9;-3.0;None;
Earnings from Continuing Operations;264.2;193.1;147.9;123.2;None;
NET INCOME;202.7;163.6;129.0;120.3;None;
NET INCOME TO COMMON INCLUDING EXTRA ITEMS;202.7;163.6;129.0;120.3;None;
NET INCOME TO COMMON EXCLUDING EXTRA ITEMS;202.7;163.6;129.0;120.3;None;
