Millions of Euros;2010;2011;2012;2013;Trend;
Assets;None;None;None;None;None;
Cash and Equivalents;5406.8;5025.4;4998.0;4274.4;None;
Short-Term Investments;402.4;168.7;169.4;102.8;None;
TOTAL CASH AND SHORT TERM INVESTMENTS;5809.2;5194.1;5167.4;4377.2;None;
Accounts Receivable;9252.4;6335.2;6129.1;5213.0;None;
Notes Receivable;103.2;975.4;1486.2;623.1;None;
Other Receivables;3236.3;2501.3;2444.7;1731.1;None;
TOTAL RECEIVABLES;12591.9;9811.9;10060.0;7567.2;None;
Inventory;1130.6;664.5;614.9;434.5;None;
Other Current Assets;34.6;49.6;45.4;60.7;None;
TOTAL CURRENT ASSETS;20371.9;16180.1;17163.7;17138.5;None;
Gross Property Plant and Equipment;21116.1;14468.0;11608.9;11251.5;None;
Accumulated Depreciation;-11412.8;-7970.6;-6902.6;-7091.0;None;
NET PROPERTY PLANT AND EQUIPMENT;9703.3;6497.4;4706.3;4160.5;None;
Goodwill;6840.2;4796.2;3911.9;3486.3;None;
Long-Term Investments;5756.1;5722.6;5688.7;5053.3;None;
Loans Receivable Long Term;714.7;2826.8;2408.0;2467.4;None;
Deferred Tax Assets Long Term;1749.6;1065.0;1018.7;859.2;None;
Other Intangibles;5670.4;3234.2;3299.4;2818.6;None;
Other Long-Term Assets;621.1;745.0;280.0;258.3;None;
TOTAL ASSETS;51427.3;41067.3;38476.7;36242.1;None;
None;None;None;None;None;None;
LIABILITIES & EQUITY;None;None;None;None;None;
Accounts Payable;--;3927.6;3997.7;3196.3;None;
Accrued Expenses;--;85.4;53.5;25.4;None;
Short-Term Borrowings;387.0;390.5;252.7;216.1;None;
Current Portion of Capital Lease Obligations;112.4;76.2;62.9;45.2;None;
Current Income Taxes Payable;--;1178.2;1238.9;827.4;None;
Other Current Liabilities Total;14902.3;5563.1;5708.9;7240.7;None;
TOTAL CURRENT LIABILITIES;18116.4;14898.0;14857.8;14418.7;None;
Long-Term Debt;17325.0;13845.4;11813.9;9304.4;None;
Capital Leases;571.1;367.9;317.4;192.4;None;
Minority Interest;2928.5;1532.8;1391.4;1478.2;None;
Pension & Other Post-Retirement Benefits;880.8;670.2;739.7;558.8;None;
Deferred Tax Liability Non-Current;2101.4;1465.1;1010.3;801.1;None;
Other Non-Current Liabilities;1628.2;1280.4;1240.0;1283.3;None;
TOTAL LIABILITIES;40622.9;32527.0;29979.1;26558.7;None;
Common Stock;2495.6;2598.2;2610.4;2744.4;None;
Additional Paid in Capital;9514.9;9796.2;8466.3;7851.1;None;
Retained Earnings;-3679.5;--;--;--;None;
Treasury Stock;-444.7;-442.5;-442.5;-442.5;None;
Comprehensive Income and Other;-10.4;-4944.4;-3528.0;-1947.8;None;
TOTAL COMMON EQUITY;7875.9;7007.5;7106.2;8205.2;None;
TOTAL EQUITY;10804.4;8540.3;8497.6;9683.4;None;
TOTAL LIABILITIES AND EQUITY;51427.3;41067.3;38476.7;36242.1;None;
