Millions of Euros;2010;2011;2012;2013;Trend;
Revenues;27851.6;22482.4;23238.9;22314.8;None;
TOTAL REVENUES;27851.6;22482.4;23238.9;22314.8;None;
Cost of Goods Sold;22630.0;18569.3;19437.3;18751.6;None;
GROSS PROFIT;5221.6;3913.1;3801.6;3563.2;None;
Selling General & Admin Expenses Total;3613.5;3079.2;3032.6;2855.2;None;
Other Operating Expenses;22447.8;18513.2;19332.0;18731.4;None;
OTHER OPERATING EXPENSES TOTAL;26061.3;21592.4;22364.6;21586.6;None;
OPERATING INCOME;1790.3;890.0;874.3;728.2;None;
Interest Expense;-816.2;-792.1;-733.8;-593.9;None;
Interest and Investment Income;62.5;76.7;44.0;73.8;None;
NET INTEREST EXPENSE;-753.7;-715.4;-689.8;-520.1;None;
Income (Loss) on Equity Investments;19.3;-607.4;-57.2;127.2;None;
Currency Exchange Gains (Loss);-3.5;-1.3;-23.2;-5.8;None;
Other Non-Operating Income (Expenses);-55.8;177.6;119.1;-13.2;None;
Merger & Restructuring Charges;-14.4;-3.1;-45.2;-162.6;None;
Impairment of Goodwill;0.2;-246.0;-64.8;-168.4;None;
Gain (Loss) on Sale of Investments;-7.4;0.5;0.5;0.9;None;
Gain (Loss) on Sale of Assets;--;--;--;93.3;None;
Other Unusual Items Total;--;-68.9;-53.0;--;None;
EBT INCLUDING UNUSUAL ITEMS;975.0;-574.0;60.7;79.5;None;
Income Tax Expense;272.4;439.1;52.9;128.3;None;
Minority Interest in Earnings;-290.5;-57.7;-35.6;-113.8;None;
Earnings from Continuing Operations;702.6;-1013.1;7.8;-48.8;None;
EARNINGS FROM DISCOUNTINUED OPERATIONS;146.4;582.7;431.8;27.3;None;
NET INCOME;558.5;-488.1;404.0;-135.3;None;
NET INCOME TO COMMON INCLUDING EXTRA ITEMS;558.5;-488.1;404.0;-151.9;None;
NET INCOME TO COMMON EXCLUDING EXTRA ITEMS;412.1;-1070.8;-27.8;-179.2;None;
