Millions of Euros;2010;2011;2012;2013;Trend;
Assets;None;None;None;None;None;
Cash and Equivalents;40.0;23.8;39.7;35.0;None;
Short-Term Investments;0.0;--;--;--;None;
TOTAL CASH AND SHORT TERM INVESTMENTS;40.0;23.8;39.7;35.0;None;
Accounts Receivable;85.5;88.0;111.9;118.6;None;
Notes Receivable;--;--;--;3.0;None;
Other Receivables;21.6;27.8;33.1;49.1;None;
TOTAL RECEIVABLES;107.1;115.8;145.0;170.7;None;
Inventory;98.9;111.8;132.2;138.8;None;
Prepaid Expenses;3.8;4.2;4.5;3.2;None;
Other Current Assets;2.7;3.2;2.3;3.4;None;
TOTAL CURRENT ASSETS;252.6;258.8;323.8;351.1;None;
Gross Property Plant and Equipment;213.3;246.1;290.4;336.0;None;
Accumulated Depreciation;-111.7;-119.0;-138.3;-149.8;None;
NET PROPERTY PLANT AND EQUIPMENT;101.6;127.1;152.1;186.3;None;
Goodwill;86.4;91.5;122.6;133.5;None;
Long-Term Investments;3.4;11.8;11.5;6.8;None;
Loans Receivable Long Term;0.6;1.0;3.1;4.6;None;
Deferred Tax Assets Long Term;3.9;4.4;4.6;8.1;None;
Other Intangibles;85.0;93.7;208.6;198.2;None;
Other Long-Term Assets;0.2;0.3;1.4;7.7;None;
TOTAL ASSETS;533.8;588.6;827.7;896.2;None;
None;None;None;None;None;None;
LIABILITIES & EQUITY;None;None;None;None;None;
Accounts Payable;72.2;62.5;73.9;77.7;None;
Accrued Expenses;33.1;39.7;44.3;41.8;None;
Short-Term Borrowings;5.4;10.8;9.6;4.5;None;
Current Portion of Long-Term Debt/Capital Lease;4.9;8.7;17.0;25.1;None;
Current Portion of Capital Lease Obligations;1.3;1.0;0.6;2.2;None;
Current Income Taxes Payable;6.5;7.4;6.8;8.0;None;
Other Current Liabilities Total;46.9;50.8;83.0;86.2;None;
Unearned Revenue Current;1.4;0.8;1.7;1.6;None;
TOTAL CURRENT LIABILITIES;170.3;180.8;236.2;244.9;None;
Long-Term Debt;31.5;71.4;145.7;179.8;None;
Capital Leases;0.8;2.0;0.8;6.2;None;
Minority Interest;2.3;2.5;52.2;53.4;None;
Unearned Revenue Non-Current;2.0;1.8;1.5;1.4;None;
Pension & Other Post-Retirement Benefits;6.9;7.5;8.7;11.1;None;
Deferred Tax Liability Non-Current;9.1;9.1;33.2;35.8;None;
Other Non-Current Liabilities;10.7;2.2;3.0;2.7;None;
TOTAL LIABILITIES;231.4;274.8;429.3;481.9;None;
Common Stock;10.9;10.9;10.6;10.6;None;
Additional Paid in Capital;6.5;6.5;6.5;6.5;None;
Retained Earnings;64.5;96.6;146.6;172.3;None;
Comprehensive Income and Other;218.1;197.4;182.4;171.5;None;
TOTAL COMMON EQUITY;300.1;311.4;346.2;360.9;None;
TOTAL EQUITY;302.4;313.9;398.4;414.4;None;
TOTAL LIABILITIES AND EQUITY;533.8;588.6;827.7;896.2;None;
