Millions of Euros;2010;2011;2012;2013;Trend;
Revenues;572.8;623.1;695.2;736.1;None;
TOTAL REVENUES;572.8;623.1;695.2;736.1;None;
Cost of Goods Sold;181.8;195.4;215.5;231.4;None;
GROSS PROFIT;391.1;427.7;479.7;504.7;None;
Selling General & Admin Expenses Total;285.2;309.5;344.4;355.4;None;
Depreciation & Amortization Total;19.2;19.7;22.3;27.5;None;
Other Operating Expenses;8.9;12.4;13.8;16.2;None;
OTHER OPERATING EXPENSES TOTAL;313.3;341.6;380.4;399.2;None;
OPERATING INCOME;77.7;86.1;99.2;105.4;None;
Interest Expense;-2.4;-3.3;-3.4;-6.9;None;
Interest and Investment Income;0.5;0.6;1.0;1.6;None;
NET INTEREST EXPENSE;-1.9;-2.7;-2.4;-5.3;None;
Income (Loss) on Equity Investments;0.0;0.0;-0.2;-0.8;None;
Currency Exchange Gains (Loss);0.2;0.0;-0.5;-3.4;None;
Other Non-Operating Income (Expenses);0.1;0.1;0.2;0.2;None;
EBT EXCLUDING UNUSUAL ITEMS;76.1;83.4;96.3;96.1;None;
Merger & Restructuring Charges;-1.7;-0.3;-2.6;-2.6;None;
Impairment of Goodwill;11.8;--;--;--;None;
Gain (Loss) on Sale of Assets;-0.1;-0.4;0.3;-0.4;None;
Other Unusual Items Total;--;0.7;1.3;1.6;None;
Other Unusual Items;--;0.7;2.7;1.8;None;
EBT INCLUDING UNUSUAL ITEMS;86.1;83.5;95.3;94.7;None;
Income Tax Expense;21.8;25.0;28.1;25.7;None;
Minority Interest in Earnings;-0.9;-1.0;-0.6;-8.5;None;
Earnings from Continuing Operations;64.3;58.6;67.2;69.0;None;
NET INCOME;63.4;57.5;66.6;60.5;None;
NET INCOME TO COMMON INCLUDING EXTRA ITEMS;63.4;57.5;66.6;60.5;None;
NET INCOME TO COMMON EXCLUDING EXTRA ITEMS;63.4;57.5;66.6;60.5;None;
