Millions of Euros;2010;2011;2012;2013;Trend;
Assets;None;None;None;None;None;
Cash and Equivalents;3310.0;3304.0;3894.0;1041.0;None;
Short-Term Investments;622.0;478.0;364.0;45.0;None;
TOTAL CASH AND SHORT TERM INVESTMENTS;3932.0;3782.0;4258.0;1086.0;None;
Accounts Receivable;4522.0;4482.0;4143.0;2870.0;None;
Other Receivables;2765.0;2790.0;3263.0;2655.0;None;
TOTAL RECEIVABLES;7287.0;7272.0;7406.0;5525.0;None;
Inventory;750.0;805.0;738.0;330.0;None;
Other Current Assets;1032.0;1066.0;1711.0;8789.0;None;
TOTAL CURRENT ASSETS;13001.0;12925.0;14113.0;15730.0;None;
Gross Property Plant and Equipment;19642.0;21163.0;22900.0;16561.0;None;
Accumulated Depreciation;-11425.0;-12162.0;-12974.0;-9020.0;None;
NET PROPERTY PLANT AND EQUIPMENT;8217.0;9001.0;9926.0;7541.0;None;
Goodwill;25345.0;25029.0;24656.0;17147.0;None;
Long-Term Investments;3402.0;529.0;876.0;1100.0;None;
Deferred Tax Assets Long Term;1836.0;1421.0;1445.0;733.0;None;
Other Intangibles;4408.0;4329.0;5190.0;4306.0;None;
Other Long-Term Assets;2784.0;2485.0;3327.0;2623.0;None;
TOTAL ASSETS;58993.0;55719.0;59533.0;49180.0;None;
None;None;None;None;None;None;
LIABILITIES & EQUITY;None;None;None;None;None;
Accounts Payable;6586.0;6684.0;6578.0;5454.0;None;
Accrued Expenses;1391.0;1375.0;1477.0;1598.0;None;
Short-Term Borrowings;1973.0;692.0;3447.0;2049.0;None;
Current Portion of Long-Term Debt/Capital Lease;1457.0;2609.0;1643.0;1480.0;None;
Current Income Taxes Payable;307.0;205.0;321.0;79.0;None;
Other Current Liabilities Total;4802.0;4475.0;4790.0;5888.0;None;
Unearned Revenue Current;2224.0;2039.0;2068.0;524.0;None;
TOTAL CURRENT LIABILITIES;18740.0;18079.0;20324.0;17072.0;None;
Long-Term Debt;8573.0;12409.0;12667.0;8737.0;None;
Minority Interest;4115.0;2623.0;2966.0;1573.0;None;
Unearned Revenue Non-Current;620.0;418.0;340.0;309.0;None;
Deferred Tax Liability Non-Current;956.0;728.0;991.0;680.0;None;
Other Non-Current Liabilities;1931.0;2015.0;3920.0;3352.0;None;
TOTAL LIABILITIES;30820.0;33649.0;38242.0;30150.0;None;
Common Stock;6805.0;6860.0;7282.0;7368.0;None;
Additional Paid in Capital;8128.0;8225.0;8271.0;8381.0;None;
Retained Earnings;9620.0;4641.0;3529.0;3604.0;None;
Treasury Stock;-2.0;-28.0;-25.0;-1.0;None;
Comprehensive Income and Other;-493.0;-251.0;-732.0;-1895.0;None;
TOTAL COMMON EQUITY;24058.0;19447.0;18325.0;17457.0;None;
TOTAL EQUITY;28173.0;22070.0;21291.0;19030.0;None;
TOTAL LIABILITIES AND EQUITY;58993.0;55719.0;59533.0;49180.0;None;
