Millions of Euros;2010;2011;2012;2013;Trend;
Revenues;28878.0;28813.0;22577.0;22135.0;None;
TOTAL REVENUES;28878.0;28813.0;22577.0;22135.0;None;
Cost of Goods Sold;14561.0;14391.0;12695.0;13008.0;None;
GROSS PROFIT;14317.0;14422.0;9882.0;9127.0;None;
Selling General & Admin Expenses Total;9050.0;8920.0;6905.0;6905.0;None;
Other Operating Expenses;45.0;61.0;-30.0;-14.0;None;
OTHER OPERATING EXPENSES TOTAL;9095.0;8981.0;6875.0;6891.0;None;
OPERATING INCOME;5222.0;5441.0;3007.0;2236.0;None;
Interest Expense;-521.0;-529.0;-572.0;-553.0;None;
Interest and Investment Income;36.0;123.0;35.0;92.0;None;
NET INTEREST EXPENSE;-485.0;-406.0;-537.0;-461.0;None;
Income (Loss) on Equity Investments;195.0;-18.0;-38.0;-33.0;None;
Currency Exchange Gains (Loss);-286.0;-504.0;-103.0;-232.0;None;
Other Non-Operating Income (Expenses);-201.0;-150.0;-54.0;-228.0;None;
EBT EXCLUDING UNUSUAL ITEMS;4445.0;4363.0;2275.0;1282.0;None;
Merger & Restructuring Charges;-90.0;-114.0;-366.0;-293.0;None;
Impairment of Goodwill;-252.0;-397.0;-760.0;-2437.0;None;
Gain (Loss) on Sale of Investments;84.0;149.0;-146.0;6.0;None;
Gain (Loss) on Sale of Assets;-6.0;14.0;5.0;3.0;None;
Other Unusual Items Total;383.0;1090.0;-945.0;--;None;
Legal Settlements;383.0;1090.0;-945.0;--;None;
EBT INCLUDING UNUSUAL ITEMS;4564.0;5105.0;63.0;-1439.0;None;
Income Tax Expense;1042.0;1378.0;604.0;417.0;None;
Minority Interest in Earnings;-1324.0;-1046.0;-113.0;-108.0;None;
Earnings from Continuing Operations;3522.0;3727.0;-541.0;-1856.0;None;
EARNINGS FROM DISCOUNTINUED OPERATIONS;--;--;833.0;3931.0;None;
NET INCOME;2198.0;2681.0;179.0;1967.0;None;
NET INCOME TO COMMON INCLUDING EXTRA ITEMS;2198.0;2681.0;179.0;1967.0;None;
NET INCOME TO COMMON EXCLUDING EXTRA ITEMS;2198.0;2681.0;-654.0;-1964.0;None;
