Millions of Euros;2010;2011;2012;2013;Trend;
Assets;None;None;None;None;None;
Cash and Equivalents;653.8;901.9;546.2;563.3;None;
TOTAL CASH AND SHORT TERM INVESTMENTS;653.8;901.9;546.2;563.3;None;
Accounts Receivable;823.9;1032.2;950.1;1087.9;None;
Other Receivables;165.5;155.1;165.7;256.6;None;
TOTAL RECEIVABLES;989.4;1187.3;1115.8;1344.5;None;
Inventory;1190.3;1389.0;1429.7;1423.4;None;
Prepaid Expenses;22.7;27.4;36.8;39.5;None;
Other Current Assets;75.4;65.4;78.2;102.6;None;
TOTAL CURRENT ASSETS;2931.6;3570.9;3206.7;3473.4;None;
Gross Property Plant and Equipment;4508.3;5394.5;5834.0;5837.7;None;
Accumulated Depreciation;-1153.9;-1328.2;-1513.9;-1686.9;None;
NET PROPERTY PLANT AND EQUIPMENT;3354.4;4066.3;4320.1;4150.7;None;
Goodwill;506.4;519.8;511.4;494.9;None;
Long-Term Investments;220.3;255.9;269.2;299.1;None;
Loans Receivable Long Term;4.4;4.4;7.1;6.2;None;
Deferred Tax Assets Long Term;59.8;140.8;213.2;187.3;None;
Other Intangibles;266.5;277.0;223.5;206.2;None;
Other Long-Term Assets;205.2;359.7;489.9;482.4;None;
TOTAL ASSETS;7548.6;9194.8;9241.1;9300.2;None;
None;None;None;None;None;None;
LIABILITIES & EQUITY;None;None;None;None;None;
Accounts Payable;647.4;668.7;677.7;832.9;None;
Accrued Expenses;272.9;290.2;303.3;326.8;None;
Short-Term Borrowings;42.3;56.5;18.5;19.0;None;
Current Portion of Long-Term Debt/Capital Lease;178.4;849.7;731.3;795.9;None;
Current Income Taxes Payable;97.9;62.5;42.5;38.9;None;
Other Current Liabilities Total;345.6;438.3;293.0;297.5;None;
Unearned Revenue Current;8.4;11.8;6.2;7.1;None;
TOTAL CURRENT LIABILITIES;1592.9;2377.7;2072.4;2318.2;None;
Long-Term Debt;686.0;1078.1;1316.8;1270.7;None;
Capital Leases;127.7;111.1;93.5;108.4;None;
Minority Interest;267.2;380.0;415.4;385.4;None;
Pension & Other Post-Retirement Benefits;122.3;--;--;--;None;
Deferred Tax Liability Non-Current;136.6;198.8;189.7;209.4;None;
Other Non-Current Liabilities;59.5;218.7;424.7;407.6;None;
TOTAL LIABILITIES;2725.0;3984.5;4097.2;4314.2;None;
Common Stock;235.9;242.9;249.9;256.3;None;
Additional Paid in Capital;569.5;732.6;817.1;929.1;None;
Retained Earnings;409.6;401.5;221.2;261.9;None;
Treasury Stock;-21.3;-46.3;-43.4;-55.1;None;
Comprehensive Income and Other;3362.8;3499.6;3483.8;3208.4;None;
TOTAL COMMON EQUITY;4556.4;4830.3;4728.5;4600.5;None;
TOTAL EQUITY;4823.6;5210.3;5143.9;4985.9;None;
TOTAL LIABILITIES AND EQUITY;7548.6;9194.8;9241.1;9300.2;None;
