Millions of Euros;2010;2011;2012;2013;Trend;
Revenues;4491.3;5295.9;5326.0;5578.3;None;
TOTAL REVENUES;4491.3;5295.9;5326.0;5578.3;None;
Cost of Goods Sold;3039.5;3744.6;3938.0;4035.7;None;
GROSS PROFIT;1451.8;1551.2;1388.0;1542.6;None;
Selling General & Admin Expenses Total;487.5;576.5;575.6;559.5;None;
Depreciation & Amortization Total;223.1;256.5;303.2;343.0;None;
Other Operating Expenses;39.5;35.0;24.3;63.1;None;
OTHER OPERATING EXPENSES TOTAL;750.0;868.0;903.1;965.5;None;
OPERATING INCOME;701.8;683.2;484.9;577.1;None;
Interest Expense;-45.4;-78.1;-104.1;-110.4;None;
Interest and Investment Income;23.7;33.7;21.4;30.8;None;
NET INTEREST EXPENSE;-21.7;-44.4;-82.8;-79.7;None;
Income (Loss) on Equity Investments;-2.3;3.8;6.5;3.6;None;
Currency Exchange Gains (Loss);2.4;10.9;-3.7;-8.1;None;
Other Non-Operating Income (Expenses);-11.0;-16.0;-9.6;-4.2;None;
EBT EXCLUDING UNUSUAL ITEMS;669.1;637.4;395.3;488.6;None;
Gain (Loss) on Sale of Investments;2.6;1.0;2.7;1.2;None;
Gain (Loss) on Sale of Assets;-16.2;9.6;-6.7;-17.2;None;
Other Unusual Items Total;-3.2;0.4;-1.8;-26.0;None;
EBT INCLUDING UNUSUAL ITEMS;652.3;648.4;389.5;446.5;None;
Income Tax Expense;199.5;191.6;114.6;147.7;None;
Minority Interest in Earnings;-43.2;-55.3;-53.8;-37.0;None;
Earnings from Continuing Operations;452.8;456.8;274.9;298.9;None;
NET INCOME;409.6;401.5;221.2;261.9;None;
NET INCOME TO COMMON INCLUDING EXTRA ITEMS;409.6;401.5;221.2;261.9;None;
NET INCOME TO COMMON EXCLUDING EXTRA ITEMS;409.6;401.5;221.2;261.9;None;
