Millions of Euros;2010;2011;2012;2013;Trend;
Assets;None;None;None;None;None;
Cash and Equivalents;164.7;224.7;161.8;156.8;None;
TOTAL CASH AND SHORT TERM INVESTMENTS;164.7;224.7;161.8;156.8;None;
Accounts Receivable;474.2;490.4;655.6;738.4;None;
Notes Receivable;0.2;0.2;3.3;4.6;None;
Other Receivables;23.3;31.6;35.6;40.7;None;
TOTAL RECEIVABLES;497.7;522.2;694.5;783.8;None;
Inventory;507.9;601.5;783.1;859.0;None;
Prepaid Expenses;10.6;10.0;15.8;17.6;None;
Other Current Assets;20.4;27.0;12.0;15.2;None;
TOTAL CURRENT ASSETS;1201.3;1385.4;1667.3;1832.4;None;
Gross Property Plant and Equipment;716.7;750.6;899.6;971.9;None;
Accumulated Depreciation;-472.5;-494.3;-585.4;-626.8;None;
NET PROPERTY PLANT AND EQUIPMENT;244.2;256.3;314.2;345.1;None;
Goodwill;1095.4;1166.4;1502.8;1568.8;None;
Long-Term Investments;12.5;11.4;15.4;9.0;None;
Loans Receivable Long Term;0.5;0.4;0.4;0.1;None;
Deferred Tax Assets Long Term;3.4;0.5;0.5;1.0;None;
Deferred Charges Long Term;198.1;222.9;285.3;326.8;None;
Other Intangibles;43.1;99.1;228.4;230.7;None;
Other Long-Term Assets;--;--;--;6.5;None;
TOTAL ASSETS;2798.4;3142.3;4014.2;4320.4;None;
None;None;None;None;None;None;
LIABILITIES & EQUITY;None;None;None;None;None;
Accounts Payable;223.4;259.7;338.4;313.0;None;
Accrued Expenses;121.2;142.9;163.7;182.1;None;
Short-Term Borrowings;167.5;147.4;277.5;92.0;None;
Current Income Taxes Payable;16.2;27.8;34.2;52.8;None;
Other Current Liabilities Total;93.1;139.1;195.9;188.4;None;
Unearned Revenue Current;9.5;9.6;33.1;90.8;None;
TOTAL CURRENT LIABILITIES;630.9;726.5;1042.9;919.1;None;
Long-Term Debt;511.7;662.7;715.9;908.6;None;
Minority Interest;0.9;0.4;0.7;0.5;None;
Pension & Other Post-Retirement Benefits;30.5;50.4;52.1;52.5;None;
Deferred Tax Liability Non-Current;75.2;107.6;142.2;157.2;None;
Other Non-Current Liabilities;1.8;3.4;4.4;7.5;None;
TOTAL LIABILITIES;1250.1;1550.7;1957.4;2044.8;None;
Common Stock;11.2;11.3;11.4;11.5;None;
Additional Paid in Capital;84.1;99.0;113.9;125.2;None;
Retained Earnings;148.5;238.3;318.9;370.9;None;
Treasury Stock;-89.9;-91.5;-89.3;-89.9;None;
Comprehensive Income and Other;1393.6;1334.1;1701.2;1857.4;None;
TOTAL COMMON EQUITY;1547.5;1591.2;2056.2;2275.1;None;
TOTAL EQUITY;1548.4;1591.6;2056.8;2275.6;None;
TOTAL LIABILITIES AND EQUITY;2798.4;3142.3;4014.2;4320.4;None;
