Millions of Euros;2010;2011;2012;2013;Trend;
Revenues;2137.0;2734.8;3440.6;3891.6;None;
TOTAL REVENUES;2137.0;2734.8;3440.6;3891.6;None;
Cost of Goods Sold;824.5;1023.4;1346.3;1518.9;None;
GROSS PROFIT;1312.4;1711.5;2094.4;2372.8;None;
Selling General & Admin Expenses Total;990.1;1242.3;1507.5;1681.0;None;
Depreciation & Amortization Total;58.1;61.6;70.1;81.9;None;
Other Operating Expenses;23.2;22.7;29.6;44.9;None;
OTHER OPERATING EXPENSES TOTAL;1071.4;1326.5;1607.2;1807.8;None;
OPERATING INCOME;241.0;384.9;487.2;565.0;None;
Interest Expense;-26.2;-31.6;-28.4;-25.3;None;
Interest and Investment Income;0.8;1.5;1.3;1.3;None;
NET INTEREST EXPENSE;-25.4;-30.1;-27.1;-24.0;None;
Income (Loss) on Equity Investments;--;--;--;-0.7;None;
Currency Exchange Gains (Loss);0.7;-2.3;-3.6;-1.7;None;
Other Non-Operating Income (Expenses);-1.1;-2.0;-2.5;-2.4;None;
EBT EXCLUDING UNUSUAL ITEMS;215.2;350.5;454.1;536.2;None;
Merger & Restructuring Charges;-8.4;-9.2;-2.8;-4.1;None;
Gain (Loss) on Sale of Assets;0.0;0.1;-0.6;-0.6;None;
Other Unusual Items Total;-1.0;-8.2;-8.9;-19.1;None;
Legal Settlements;--;0.9;--;--;None;
Other Unusual Items;--;-0.5;6.8;2.0;None;
EBT INCLUDING UNUSUAL ITEMS;205.8;333.2;441.8;512.4;None;
Income Tax Expense;57.2;95.9;134.4;141.6;None;
Minority Interest in Earnings;0.2;0.4;0.6;0.2;None;
Earnings from Continuing Operations;148.7;237.3;307.4;370.7;None;
EARNINGS FROM DISCOUNTINUED OPERATIONS;-0.4;0.6;10.9;--;None;
NET INCOME;148.5;238.3;318.9;370.9;None;
NET INCOME TO COMMON INCLUDING EXTRA ITEMS;148.5;238.3;318.9;370.9;None;
NET INCOME TO COMMON EXCLUDING EXTRA ITEMS;148.9;237.7;307.9;370.9;None;
