Name,GROUPE,CAC1,CAC2,BIG5-BIG5,ABBFR,XCAC,LNACTF,LEV,ROA,BIG5-BIG5
ADP,CAC40MID,KPMG,E&Y,1,0.011628187,0.550769231,9.173541524,0.378598774,0.031612147,1
AIR FRANCE -KLM,CAC40MID,KPMG,Deloitte,1,-0.032851381,0.493670886,10.14340956,0.193250207,-0.07186406,1
ALTEN,CAC40MID,Dauge&Asso,Grant Thornton,0,-0.017849123,0.361563518,6.753437919,0.008518086,0.086114352,0
ALTRAN TECHN.,CAC40MID,MAZARS,Deloitte,1,-0.098102644,0.505027422,7.284477918,0.177084048,0.045145798,1
ARKEMA,CAC40MID,KPMG,E&Y,1,-0.00227805,0.5,8.608130186,0.220051132,0.030679328,1
BIC,CAC40MID,Deloitte,Grant Thornton,0,-0.019284159,0.722431866,7.693755077,0.02802333,0.110042832,0
BOLLORE,CAC40MID,Constantin,AEG Finances,0,-0.019886491,0.875259875,9.825461144,0.116499449,0.014600947,0
BUREAU VERITAS,CAC40MID,PWC,Bellot Mullenbach,0,0.022839177,0.772727273,8.220699073,0.378547793,0.092841193,0
CGG,CAC40MID,Mazars,E&Y,1,-0.063103809,0.31183469,9.019518792,0.288509948,-0.084571816,1
DASSAULT SYSTEMES,CAC40MID,PWC,E&Y,1,0.013922267,0.677704824,8.339954694,0.085961938,0.084123308,1
EDENRED,CAC40MID,Deloitte,Didier King,0,-0.005903837,0.933333333,8.328692584,0.369234484,0.03863801,0
EIFFAGE,CAC40MID,KPMG,PWC,1,-0.009339865,0.489006157,10.217422,0.476914085,0.009387785,1
ERAMET,CAC40MID,E&Y,Deloitte,1,-0.02010528,0.507759784,8.69282576,0.127013423,-0.062080537,1
EULER HERMES GROUP,CAC40MID,KPMG,ACE,0,-2.16356E-05,0.891699411,8.709910524,0.042885183,0.051742623,0
EURAZEO,CAC40MID,Mazars,PWC,1,0.004680967,0.552211463,9.415279219,0.293869404,0.045704509,1
EUROFINS SCIENT.,CAC40MID,PWC,HLP,0,0.018088253,0.782841823,7.311218384,0.448096192,0.048229793,0
EUTELSAT COMMUNIC.,CAC40MID,E&Y,Mazars,1,-0.004609117,0.646564885,8.631414336,0.510169492,0.063318466,1
FAURECIA,CAC40MID,PWC,E&Y,1,-0.03231521,0.36,9.027714769,0.153370625,0.010515197,1
GECINA NOM.,CAC40MID,PWC,Mazars,1,-0.005271295,0.515975527,9.305605096,0.28057639,0.028546752,1
GROUPE EUROTUNNEL,CAC40MID,KPMG,MAZARS,1,0.003338539,0.533254157,8.893284414,0.619505966,0.013923025,1
GROUPE STERIA,CAC40MID,E&Y,PWC,1,-0.04377799,0.6941444,7.47692528,0.206191986,0.005037356,1
HAVAS,CAC40MID,Constantin,AEG Finances,0,-0.045521958,0.886792453,8.50167338,0.043875686,0.026000406,0
HERMES INTL,CAC40MID,PWC,Crowe,0,0.021945786,0.782608696,8.27832668,0.00624746,0.200706014,0
ICADE,CAC40MID,Mazars,PWC,1,-0.146275395,0.538461538,9.243852515,0.317083785,0.012271778,1
ILIAD,CAC40MID,PWC,Boissiere,0,0.044807712,0.656,8.471421467,0.213533488,0.056382556,0
IMERYS,CAC40MID,E&Y,DA,0,0.014462821,0.507462687,8.491444521,0.244269326,0.049662419,0
INGENICO,CAC40MID,KPMG,Mazars,1,-0.030465148,0.6330076,7.596342077,0.280375709,0.057310764,1
IPSEN,CAC40MID,Deloitte,KPMG,1,0.02843257,0.568627451,7.355832778,0.007857919,0.097425414,1
IPSOS,CAC40MID,Grant Thomton,PWC,0,0.025163668,0.529336735,7.663078818,0.295071184,0.008175539,0
KLEPIERRE,CAC40MID,Deloitte,MAZARS,1,-0.015433523,0.540540541,9.406753836,0.453341331,0.004404164,1
KORIAN-MEDICA,CAC40MID,Mazars,E&Y,1,-0.025707302,0.446337308,7.752764809,0.224699313,0.012285223,1
LAGARDERE S.C.A.,CAC40MID,Mazars,E&Y,1,-0.071587257,0.510359116,9.027858802,0.074051848,0.156865098,1
MAUREL ET PROM,CAC40MID,E&Y,Daniel e beaurepar,0,-0.064477682,0.735776278,7.545072575,0.153484192,0.033202918,0
MERCIALYS,CAC40MID,E&Y,KPMG,1,-0.043022771,0.494285714,7.361756551,0.474469707,0.07836911,1
METROPOLE TV,CAC40MID,E&Y,PWC,1,-0.058116682,0.408,7.135368825,0.001274291,0.089200382,1
NEOPOST,CAC40MID,E&Y,Finexsi,0,0.215950518,0.909740504,7.818390046,0.351381793,0.064604369,0
NEXANS,CAC40MID,KPMG,PWC,1,-0.066028825,0.397338403,8.605387202,0.192089361,-0.060977843,1
NEXITY,CAC40MID,E&Y,KPMG,1,0.019743681,0.105442177,8.339715882,0.050490817,0.023907903,1
NUMERICABLE,CAC40MID,KPMG,Deloitte,1,0.00383388,0.329113924,8.283948798,0.66392242,0.016313955,1
ORPEA,CAC40MID,Deloitte,Saint Honoré,0,0.053921935,0.633333333,8.603664423,0.353089001,0.020892949,0
REMY COINTREAU,CAC40MID,E&Y,Auditeurs & Conseils,0,0.007272142,0.889757623,7.726344975,0.171657919,0.057513342,0
